Event,event_id
2023 World Triathlon Long Distance Championships Ibiza,174024
2024 T100 Triathlon World Tour at CLASH Endurance Miami,186302
2024 T100 Triathlon World Tour Grand Final,186308
2024 T100 Triathlon World Tour Grand Final Dubai,186307
2024 T100 Triathlon World Tour Ibiza,186305
2024 T100 Triathlon World Tour Lake Las Vegas,186306
2024 T100 Triathlon World Tour London,186304
2024 T100 Triathlon World Tour San Francisco,186614
2024 T100 Triathlon World Tour Singapore,186303
2024 World Triathlon Long Distance Championships Townsville,185705
2025 T100 Triathlon World Tour San Francisco,194220
2025 T100 Triathlon World Tour Singapore,194219
2025 T100 Triathlon World Tour Vancouver,194951
2025 World Triathlon Long Distance Championships Pontevedra,191839
