Athlete,Swim Place,Swim Time,Swim Split from Swim Lead,T1 Place,T1 Time,T1 Split from Lead,Bike Analysis,T2 Place,T2 Time,T2 Split from Lead,Run Place,Run Split,Run split from run leader,Finish Time,Finish time back from lead,Finish Place,Event,Tier
Taylor Spivey,3,09:14:00,+:18,14,:40,+:03,1 days 04:13:00,24,:25,+:05,14,16:49:00,+:47,0 days 00:55:21,(+) :52,13,WTCS Abu Dhabi,1.0
Erika Ackerlund,27,09:30:00,+:34,39,:44,+:07,1 days 03:50:00,23,:24,+:04,17,16:53:00,+:53,0 days 00:55:23,(+) :54,14,WTCS Abu Dhabi,1.0
Gwen Jorgensen,18,09:25:00,+:29,36,:43,+:06,1 days 05:16:00,22,:24,+:04,15,16:55:00,+:51,0 days 00:56:41,(+) 2:12,21,WTCS Abu Dhabi,1.0
Morgan Pearson,19,08:21:00,+:22,5,:35,+:01,1 days 01:39:00,16,:22,+:03,14,14:47:00,+:42,0 days 00:49:44,(+) 1:20,19,WTCS Abu Dhabi,1.0
John Reed,23,08:24:00,+:25,25,:38,+:03,1 days 01:36:00,39,:24,+:05,16,14:53:00,+:48,0 days 00:49:55,(+) 1:31,26,WTCS Abu Dhabi,1.0
Reese Vannerson,12,08:44:00,(+):09,12,:34,(+):04,1 days 02:26:00,3,:19,(+):02,3,14:36:00,(+):08,0 days 00:50:36,(+):07,5,WC Napier,0.6
Sullivan Middaugh,34,09:05:00,(+):30,33,:38,(+):08,1 days 01:56:00,1,:17,:00,11,15:05:00,(+):37,0 days 00:50:58,(+):29,9,WC Napier,0.6
John Reed,11,08:43:00,(+):08,34,:39,(+):09,1 days 02:20:00,5,:21,(+):04,8,15:01:00,(+):33,0 days 00:51:00,(+):31,10,WC Napier,0.6
Keller Norland,24,08:53:00,(+):18,27,:36,(+):06,1 days 02:15:00,10,:28,(+):11,19,15:59:00,(+)1:31,0 days 00:52:08,(+)1:39,20,WC Napier,0.6
Erika Ackerlund,14,09:51:00,(+):32,9,:39,(+):02,1 days 05:26:00,10,:21,(+):04,2,16:50:00,(+):05,0 days 00:57:05,(+):41,4,WC Napier,0.6
Reese Vannerson,32,18:50:00,+1:17,11,:41,+:02,,26,:25,+:03,1,1 days 06:02:00,-,0 days 01:39:42,-,1,WC Chengdu,0.6
Keller Norland,41,18:54:00,+1:21,38,:43,+:04,,49,:29,+:07,25,1 days 07:46:00,+1:44,0 days 01:41:30,+1:48,25,WC Chengdu,0.6
Chase McQueen,3,17:50:00,+:03,36,:52,+:07,Lead Group,3,:19,:00,22,1 days 08:05:00,+2:22,0 days 01:43:29,+2:21,13,WTCS Yokohama,1.0
John Reed,26,18:24:00,+:37,15,:48,+:03,Chase Group,33,:23,+:04,8,1 days 06:41:00,+:58,0 days 01:44:32,+3:24,21,WTCS Yokohama,1.0
Morgan Pearson,32,18:32:00,+:45,3,:46,+:01,Chase Group,16,:21,+:02,14,1 days 07:24:00,+1:41,0 days 01:45:12,+4:04,25,WTCS Yokohama,1.0
Gwen Jorgensen,21,19:48:00,+:26,41,:58,+:10,Came together - back to middle,31,:26,+:05,4,1 days 09:48:00,+:10,0 days 01:51:52,+:14,4,WTCS Yokohama,1.0
Taylor Spivey,7,19:38:00,+:16,28,:54,+:06,Brought chase group up and rode up front,33,:27,+:06,10,1 days 10:29:00,+:49,0 days 01:52:28,+:50,9,WTCS Yokohama,1.0
Keller Norland,41,19:21:00,+1:31,7,:27,+:01,,54,:36,+:11,25,"1 day, 9:42:00",+2:48,1:49:49,+3:06,19,WC Samarkand,0.6
Reese Vannerson,26,18:58:00,+1:08,24,:29,+:03,,8,:28,+:03,31,"1 day, 10:12:00",+3:42,1:50:12,+3:29,23,WC Samarkand,0.6
Chase McQueen,4,17:17:00,+:05,32,:49,+:05,Lead pack,19,:20,+:03,21,"1 day, 8:36:00",+2:37,1:46:34,+2:29,11,WTCS Alghero,1.0
John Reed,19,17:27:00,+:15,9,:46,+:02,Chase pack,21,:21,+:04,8,"1 day, 6:53:00",+:54,1:46:38,+2:33,13,WTCS Alghero,1.0
Gwen Jorgensen,26,19:10:00,+:45,20,:53,+:05,"Flat, with weak biker after",0,Lap,Lap,0,Lap,Lap,Lap,Lap,0,WTCS Alghero,1.0
Erika Ackerlund,10,10:04:00,+:05,11,:52,+:06,,10,:16,+:07,3,0 days 17:09:00,+:03,1:00:08,:00,2,Huatulco WC,0.6
