event_id,prog_id,event_name,tier,distance,error_type,athlete_id,athlete_full_name,predicted_rank,actual_rank,rank_error,pred_total_sec,actual_total_sec,pred_finish_pct,n_field,event_p10
194193,674119,2025 World Triathlon Championship Series Hamburg,1a,sprint,missed,107730,,15,3,12,3126.5608855599107,3036.0,0.3143224461309525,49,0.7
194193,674119,2025 World Triathlon Championship Series Hamburg,1a,sprint,missed,56550,,21,10,11,3173.6840471072614,3073.0,0.4067754442049353,49,0.7
194193,674119,2025 World Triathlon Championship Series Hamburg,1a,sprint,missed,104983,,17,7,10,3195.233702372112,3056.0,0.3448179765459465,49,0.7
194193,674119,2025 World Triathlon Championship Series Hamburg,1a,sprint,false_alarm,49411,,10,21,-11,3159.165498122854,3105.0,0.2520347515452755,49,0.7
194193,674119,2025 World Triathlon Championship Series Hamburg,1a,sprint,false_alarm,74419,,7,32,-25,3203.614781757229,3135.0,0.20483768703342695,49,0.7
194193,674119,2025 World Triathlon Championship Series Hamburg,1a,sprint,false_alarm,49390,,2,11,-9,3107.726156859603,3079.0,0.1366855934777343,49,0.7
194193,674121,2025 World Triathlon Championship Series Hamburg,1a,sprint,missed,86051,,11,6,5,3295.717320430742,3408.0,0.20783842489038395,52,0.7
194193,674121,2025 World Triathlon Championship Series Hamburg,1a,sprint,missed,135877,,20,5,15,3312.4940057120407,3407.0,0.3163475234777998,52,0.7
194193,674121,2025 World Triathlon Championship Series Hamburg,1a,sprint,missed,81334,,12,10,2,3313.7275888141435,3419.0,0.2783572676979633,52,0.7
194193,674121,2025 World Triathlon Championship Series Hamburg,1a,sprint,false_alarm,79066,,4,12,-8,3336.2007087667,3422.0,0.13280780667322165,52,0.7
194193,674121,2025 World Triathlon Championship Series Hamburg,1a,sprint,false_alarm,125627,,9,11,-2,3377.461379914199,3420.0,0.16099035028172437,52,0.7
194193,674121,2025 World Triathlon Championship Series Hamburg,1a,sprint,false_alarm,106581,,9,26,-17,3305.315783915356,3451.0,0.26013885453160973,52,0.7
194996,676011,2025 World Triathlon Championship Series French Riviera,1a,sprint,missed,125064,,12,8,4,3215.161291484723,3103.0,0.24083880974075836,51,0.7
194996,676011,2025 World Triathlon Championship Series French Riviera,1a,sprint,missed,79706,,12,7,5,3204.202306938836,3097.0,0.3008671204894884,51,0.7
194996,676011,2025 World Triathlon Championship Series French Riviera,1a,sprint,missed,63651,,31,5,26,3179.840408145954,3092.0,0.5748366699457067,51,0.7
194996,676011,2025 World Triathlon Championship Series French Riviera,1a,sprint,false_alarm,98121,,8,12,-4,3203.293242159697,3135.0,0.18355127653481815,51,0.7
194996,676011,2025 World Triathlon Championship Series French Riviera,1a,sprint,false_alarm,30249,,3,27,-24,3125.270255100291,3170.0,0.14912858972366946,51,0.7
194996,676011,2025 World Triathlon Championship Series French Riviera,1a,sprint,false_alarm,104034,,2,11,-9,3109.264194993376,3133.0,0.09345171516912769,51,0.7
194996,676012,2025 World Triathlon Championship Series French Riviera,1a,sprint,missed,31827,,15,10,5,3319.814453384469,3451.0,0.5335460657072976,37,0.8
194996,676012,2025 World Triathlon Championship Series French Riviera,1a,sprint,missed,135877,,11,9,2,3322.021395441138,3445.0,0.3665129485899163,37,0.8
194996,676012,2025 World Triathlon Championship Series French Riviera,1a,sprint,false_alarm,79065,,3,13,-10,3317.5631431927923,3464.0,0.13462207092568457,37,0.8
194996,676012,2025 World Triathlon Championship Series French Riviera,1a,sprint,false_alarm,106503,,11,14,-3,3348.840399289466,3474.0,0.3565342973119282,37,0.8
194197,674127,2025 World Triathlon Championship Series Karlovy Vary,1a,standard,missed,94563,,29,9,20,6329.527500327822,6627.0,0.5121460559088042,36,0.5
194197,674127,2025 World Triathlon Championship Series Karlovy Vary,1a,standard,missed,56550,,12,5,7,6282.340162484888,6592.0,0.3927389903719454,36,0.5
194197,674127,2025 World Triathlon Championship Series Karlovy Vary,1a,standard,missed,107730,,17,6,11,6456.803938210607,6612.0,0.4201260773799162,36,0.5
194197,674127,2025 World Triathlon Championship Series Karlovy Vary,1a,standard,missed,56153,,19,10,9,6267.849033480812,6641.0,0.5052248079998879,36,0.5
194197,674127,2025 World Triathlon Championship Series Karlovy Vary,1a,standard,missed,56027,,24,7,17,6410.868214646902,6617.0,0.577766268679283,36,0.5
194197,674127,2025 World Triathlon Championship Series Karlovy Vary,1a,standard,false_alarm,104034,,2,17,-15,6322.636247630127,6674.0,0.0971437127595534,36,0.5
194197,674127,2025 World Triathlon Championship Series Karlovy Vary,1a,standard,false_alarm,54985,,9,19,-10,6288.175721286618,6687.0,0.36708970767221266,36,0.5
194197,674127,2025 World Triathlon Championship Series Karlovy Vary,1a,standard,false_alarm,49390,,5,23,-18,6245.964302968476,6726.0,0.2291585407877252,36,0.5
194197,674127,2025 World Triathlon Championship Series Karlovy Vary,1a,standard,false_alarm,104983,,7,26,-19,6281.7575364098675,6755.0,0.32553966918023763,36,0.5
194197,674127,2025 World Triathlon Championship Series Karlovy Vary,1a,standard,false_alarm,164894,,10,22,-12,6258.294686410932,6713.0,0.36640643123018296,36,0.5
194197,674128,2025 World Triathlon Championship Series Karlovy Vary,1a,standard,missed,79830,,29,8,21,7240.5820066843735,7500.0,0.8135404448943031,29,0.9
194197,674128,2025 World Triathlon Championship Series Karlovy Vary,1a,standard,false_alarm,106503,,10,12,-2,6922.690269934286,7582.0,0.3109604894241997,29,0.9
194853,674137,2025 World Triathlon Championship Series Weihai,1a,standard,missed,156380,,22,8,14,6446.759720716429,6077.0,0.5670611565005936,35,0.7
194853,674137,2025 World Triathlon Championship Series Weihai,1a,standard,missed,158469,,12,7,5,6434.050339016913,6073.0,0.48022197441038106,35,0.7
194853,674137,2025 World Triathlon Championship Series Weihai,1a,standard,missed,80663,,21,10,11,6485.955176124982,6088.0,0.5504508718838476,35,0.7
194853,674137,2025 World Triathlon Championship Series Weihai,1a,standard,false_alarm,98130,,5,34,-29,6385.310341985088,6371.0,0.35255256074215735,35,0.7
194853,674137,2025 World Triathlon Championship Series Weihai,1a,standard,false_alarm,98098,,11,14,-3,6382.304497719635,6107.0,0.46371976400289067,35,0.7
194853,674137,2025 World Triathlon Championship Series Weihai,1a,standard,false_alarm,125294,,9,13,-4,6331.581309122096,6103.0,0.4064500561812782,35,0.7
194853,674138,2025 World Triathlon Championship Series Weihai,1a,standard,missed,74402,,16,6,10,6855.17909124408,6794.0,0.5938079919175576,27,0.9
