event_id,prog_id,event_name,tier,distance,p10,n_field,n_missed,n_false_alarm
194193,674119,2025 World Triathlon Championship Series Hamburg,1a,sprint,0.8,49,2,2
194193,674121,2025 World Triathlon Championship Series Hamburg,1a,sprint,0.7,52,3,3
194996,676011,2025 World Triathlon Championship Series French Riviera,1a,sprint,0.8,51,2,2
194996,676012,2025 World Triathlon Championship Series French Riviera,1a,sprint,0.9,37,1,1
194197,674127,2025 World Triathlon Championship Series Karlovy Vary,1a,standard,0.7,36,3,3
194197,674128,2025 World Triathlon Championship Series Karlovy Vary,1a,standard,0.9,29,1,1
194853,674137,2025 World Triathlon Championship Series Weihai,1a,standard,0.8,35,2,2
194853,674138,2025 World Triathlon Championship Series Weihai,1a,standard,0.8,27,2,2
188992,674811,2025 World Triathlon Championship Finals Wollongong,1a,standard,0.7,49,3,3
188992,674812,2025 World Triathlon Championship Finals Wollongong,1a,standard,0.7,35,3,3
194221,674204,2025 T100 Triathlon World Tour London,1b,middle_distance,0.8,18,2,2
194221,674205,2025 T100 Triathlon World Tour London,1b,middle_distance,0.9,16,1,1
194697,674201,2025 T100 Triathlon World Tour French Riviera,1b,middle_distance,0.8,19,2,2
194697,674202,2025 T100 Triathlon World Tour French Riviera,1b,middle_distance,0.8,19,2,2
194222,674236,2025 T100 Triathlon World Tour Oropesa,1b,middle_distance,0.9,17,1,1
194222,674237,2025 T100 Triathlon World Tour Oropesa,1b,middle_distance,0.9,17,1,1
195021,676290,2025 T100 Triathlon World Tour Wollongong,1b,middle_distance,0.8,21,2,2
195021,676291,2025 T100 Triathlon World Tour Wollongong,1b,middle_distance,0.8,16,2,2
194698,674207,2025 T100 Triathlon World Tour Dubai,1b,middle_distance,0.7,17,3,3
194698,674209,2025 T100 Triathlon World Tour Dubai,1b,middle_distance,0.9,17,1,1
194959,675813,2025 T100 Triathlon World Championship Final Qatar,1b,middle_distance,0.9,20,1,1
194959,675814,2025 T100 Triathlon World Championship Final Qatar,1b,middle_distance,0.7,24,3,3
194203,674165,2025 World Triathlon Cup Tiszaujvaros,2,sprint,0.6,67,4,4
194203,674166,2025 World Triathlon Cup Tiszaujvaros,2,sprint,0.8,39,2,2
194205,674175,2025 World Triathlon Cup Rome,2,sprint,0.4,58,6,6
194205,674176,2025 World Triathlon Cup Rome,2,sprint,0.5,47,5,5
194206,673628,2025 World Triathlon Cup Vina del Mar,2,sprint,0.8,63,2,2
194206,673629,2025 World Triathlon Cup Vina del Mar,2,sprint,0.6,34,4,4
194209,674185,2025 World Triathlon Cup Miyazaki,2,sprint,0.4,56,6,6
195007,676294,2025 World Triathlon Cup San Pedro de la Paz,2,sprint,0.6,57,4,4
194209,674186,2025 World Triathlon Cup Miyazaki,2,sprint,0.6,44,4,4
195007,676295,2025 World Triathlon Cup San Pedro de la Paz,2,sprint,0.7,42,3,3
194207,674180,2025 World Triathlon Cup Tongyeong,2,sprint,0.6,58,4,4
195093,676493,2025 World Triathlon Cup Florianopolis,2,sprint,0.7,58,3,3
194207,674181,2025 World Triathlon Cup Tongyeong,2,sprint,0.7,48,3,3
195093,676494,2025 World Triathlon Cup Florianopolis,2,sprint,0.7,33,3,3
194288,673897,2025 Africa Triathlon Premium Cup Larache,3,sprint,0.6,50,4,4
194288,673898,2025 Africa Triathlon Premium Cup Larache,3,sprint,0.7,31,3,3
194916,673902,2025 Americas Triathlon Cup Magog,3,sprint,0.7,66,3,3
194916,673903,2025 Americas Triathlon Cup Magog,3,sprint,0.8,41,2,2
194870,674270,2025 Americas Triathlon Cup Montreal,3,sprint,0.9,66,1,1
194870,674271,2025 Americas Triathlon Cup Montreal,3,sprint,0.9,53,1,1
194968,675220,2025 Americas Triathlon Cup Kelowna,3,sprint,0.9,61,1,1
194968,675221,2025 Americas Triathlon Cup Kelowna,3,sprint,0.8,39,2,2
194442,673932,2025 Africa Triathlon Cup Oran,3,sprint,0.8,23,2,2
194442,673933,2025 Africa Triathlon Cup Oran,3,sprint,0.7,17,3,3
194744,674340,2025 Asia Triathlon Cup Gamagori,3,sprint,0.8,66,2,2
194744,674341,2025 Asia Triathlon Cup Gamagori,3,sprint,0.5,55,5,5
194294,673942,2025 Africa Triathlon Cup Taghazout,3,sprint,0.8,47,2,2
194294,673943,2025 Africa Triathlon Cup Taghazout,3,sprint,0.6,20,4,4
194741,674345,2025 Asia Triathlon Cup Turkestan,3,standard,0.7,18,3,3
194743,673957,2025 Asia Triathlon Cup Yilan,3,sprint,0.6,56,4,4
194743,673958,2025 Asia Triathlon Cup Yilan,3,sprint,0.7,33,3,3
194295,674353,2025 Africa Triathlon Cup and Pan-Arab Championships Hurghada,3,sprint,0.7,35,3,3
194295,674354,2025 Africa Triathlon Cup and Pan-Arab Championships Hurghada,3,sprint,0.9,24,1,1
194272,673967,2025 Europe Triathlon Cup Ceuta,3,sprint,0.4,59,6,6
194272,673968,2025 Europe Triathlon Cup Ceuta,3,sprint,0.8,34,2,2
194317,673998,2025 Africa Triathlon Cup Kilifi,3,sprint,0.8,23,2,2
194905,673978,2025 Europe Triathlon Cup Tenerife - Santa Cruz,3,sprint,0.5,63,5,5
194905,673979,2025 Europe Triathlon Cup Tenerife - Santa Cruz,3,sprint,0.7,65,3,3
194997,676055,2025 Asia Triathlon Cup Chongqing,3,standard,0.9,27,1,1
194997,676056,2025 Asia Triathlon Cup Chongqing,3,standard,,9,0,0
194737,674368,2025 Asia Triathlon Cup Kota Kinabalu,3,sprint,0.8,44,2,2
194737,674369,2025 Asia Triathlon Cup Kota Kinabalu,3,sprint,0.9,21,1,1
194273,673983,2025 Europe Triathlon Cup Alanya,3,sprint,0.5,64,5,5
195058,676345,2025 Americas Triathlon Cup Iquique,3,sprint,0.7,51,3,3
194273,673984,2025 Europe Triathlon Cup Alanya,3,sprint,0.9,42,1,1
195058,676347,2025 Americas Triathlon Cup Iquique,3,sprint,0.8,16,2,2
194865,673633,2025 Americas Triathlon Cup Vina del Mar,3,sprint,0.7,63,3,3
194865,673634,2025 Americas Triathlon Cup Vina del Mar,3,sprint,0.8,31,2,2
194875,673993,2025 Americas Triathlon Cup Manta,3,sprint,0.6,42,4,4
194875,673994,2025 Americas Triathlon Cup Manta,3,sprint,1.0,18,0,0
195061,676426,2025 Americas Triathlon Cup and Iberoamerican Championships Maldonado,3,sprint,0.6,43,4,4
