race,dist,field_n,place,pos_swim,pos_bike,moved_up,swim_gap_to_lead_s,bike_s,bike_rank,tied_on_bike_split,packmates,pack_bike_sd_s,pack_bike_range_s,run_pct_vs_mean,bike_pct_vs_mean,bike_pct_vs_best,run_pct_vs_best
2025 Calima (Americas Champs),standard,57,2,41,4,37,96.0,3347.0,1,2,33,31.036025011023053,97.0,-14.781650365064053,-7.205498241671656,0.0,0.9794319294809012
2025 Wollongong U23 Worlds,standard,47,28,47,38,9,111.0,3427.0,33,1,11,15.479605350853806,55.0,-4.676592524699186,0.5531173720057647,3.5660320338470837,7.211267605633803
2025 Vina del Mar (WC),sprint,63,23,50,17,33,62.0,1516.0,1,1,25,10.260279398404965,37.0,-2.064192817086261,-3.807106598984772,0.0,8.185053380782918
2025 San Pedro de la Paz (WC),sprint,57,10,53,11,42,49.0,1801.0,1,2,45,12.1815807303859,53.0,-5.224107754356588,-2.741802540951763,0.0,2.823529411764706
2026 Gulfport (Americas Cup),sprint,59,5,44,12,32,65.0,1560.0,1,1,34,12.567110400351257,45.0,-10.811698981268483,-4.980178394449952,0.0,4.008221993833504
2026 Chengdu (WC),sprint,63,62,63,63,0,91.0,1579.0,63,1,1,,0.0,2.3235586481113377,1.5558482129184377,3.0678851174934727,8.540925266903916
2026 Huatulco (WC),sprint,54,2,47,1,46,35.0,1685.0,2,1,44,10.186526772927081,41.0,-9.75356434708715,-2.528119978575254,0.178359096313912,0.22650056625141565
2026 Edmonton (WC),sprint,58,6,51,4,47,44.0,1595.0,2,1,46,10.23275030204301,42.0,-7.63057887759611,-3.707635939711888,0.06273525721455457,1.9230769230769231
2026 Rio de Janeiro (WC),sprint,60,8,57,8,49,52.0,1621.0,8,1,50,12.35469009513953,47.0,-7.72441824273605,-1.4130192389563534,1.122894572676232,0.9615384615384616
2026 Asuncion (WC),standard,51,9,41,9,32,85.0,3255.0,10,1,32,26.110323474355578,82.0,-6.4794104004535376,-1.833180568285982,3.4647171010807374,2.182653647329121
