race,dur_s,trimmed_s,lab_T2,lam_T2,lab_last120_mean,lab_slope_last300,lab_peak,lab_peak_at_pct,clearance,lab_mean,lab_auc_over_base,lab_auc_over_4,t_over_4_pct,t_over_5_pct,t_over_6_pct,W_mean,W_cv,W_p95,surges_over_500W,vo2max_implied,lab_ewma120,lab_ewma300,lab_ewma600,dist,place,field_n,run_s,run_pct_vs_best,run_pct_vs_mean,run_rank,bike_pct_vs_mean,air_c,pack_size,gap_to_lead_s,run_pctile
2025 Calima (Americas Champs),3344,0,3.136124788447486,3.163817486151485,3.2195208555134114,0.21674044194830613,4.307179031917586,21.91752145698137,1.1710542434701003,3.2131264593837594,109.3976148310219,1.199864461226514,14.174641148325358,0.0,0.0,312.22846889952154,0.3988396728628131,491.8499999999999,145,5.31258864592198,2.912819799151268,2.7700387368573325,2.802392782908333,standard,2,57,2062.0,0.9794319294809012,-14.781650365064053,2,-7.205498241671656,24.0,33,3.0,98.24561403508771
2025 Wollongong U23 Worlds,3187,0,3.348451948074426,3.340557948031722,3.402282837765628,0.02718844656353786,4.50628402341455,82.89874172393235,1.1578320753401243,2.9811966205083262,91.93813381607073,0.6268345598774239,4.737998117351742,0.0,0.0,326.4066520238469,0.32600607119594394,482.0,118,5.401034529585323,3.4244908621613357,3.4533255517937365,3.3471831295217345,standard,28,47,1903.0,7.211267605633803,-4.676592524699186,13,0.5531173720057647,20.1,11,220.0,74.46808510638299
2025 Vina del Mar (WC),1527,0,6.376720152477019,6.524349607262863,6.815306264768313,-0.15738959489041993,8.367921778786712,52.845634946623875,1.9912016263096932,6.322460927078042,129.05314860548867,63.57390854708914,84.67583497053045,77.86509495743287,75.90045841519319,355.60707269155205,0.4137286416732783,580.0,180,5.401034529585323,6.945330787210489,7.098192846878466,6.960325977375771,sprint,23,63,912.0,8.185053380782918,-2.064192817086261,24,-3.807106598984772,14.7,25,17.0,63.49206349206349
2025 San Pedro de la Paz (WC),1809,0,3.495202027761124,3.569582330559345,3.386686384529821,-0.4199976550406811,6.410421359413691,59.53341809939743,2.915219331652567,4.793489479394387,106.81935820379474,29.136532006431302,83.80320619126589,48.148148148148145,9.83969043670536,311.9242675511332,0.5442398913891349,621.5999999999999,191,5.401034529585323,3.7498086639531487,4.388575641428998,4.728397203026778,sprint,10,57,874.0,2.823529411764706,-5.224107754356588,11,-2.741802540951763,17.0,45,32.0,82.45614035087719
2026 Gulfport (Americas Cup),1594,0,2.736316344496359,2.732847466793493,2.9700482553645737,-0.33261900739375455,5.397871549067823,55.517912039651165,2.6615552045714637,3.808969582799416,67.972695253776,8.698360285371825,50.439146800501874,9.786700125470514,0.0,352.78983688833125,0.3923016529690392,544.3499999999999,135,5.704456014274889,3.2647386110319228,3.783426076677765,3.95118095933804,sprint,5,59,1012.0,4.008221993833504,-10.811698981268483,3,-4.980178394449952,22.6,34,47.0,96.61016949152543
2026 Chengdu (WC),1591,0,1.876499495683096,1.871889860814099,2.1124835901940475,-0.07249975375722821,2.750503272933304,64.67408385190772,0.8740037772502081,2.373007088799608,29.774473127388124,0.0,0.0,0.0,0.0,355.1018227529855,0.23383773730836704,469.9999999999999,32,5.704456014274889,2.1631967159586694,2.2930694102064217,2.3577836551903966,sprint,62,63,915.0,8.540925266903916,2.3235586481113377,48,1.5558482129184377,24.3,1,92.0,25.396825396825395
2026 Huatulco (WC),1685,0,2.058712811169151,2.054332179577688,1.9512841114031718,0.10961886253559344,6.11340708309529,21.83512374621639,4.05469427192614,3.2244131070300885,55.442334209837846,7.390264211047059,23.44213649851632,12.640949554896142,3.7388724035608307,293.5471810089021,0.5756670658763918,580.0,185,5.704456014274889,1.885278910909497,2.0641095843133312,2.478476938155265,sprint,2,54,885.0,0.2265005662514156,-9.75356434708715,3,-2.528119978575254,35.0,44,0.0,96.2962962962963
2026 Edmonton (WC),1592,1610,2.965015432124512,2.985268758151848,3.581819119077875,-0.508539713454678,5.792367242007308,42.39587913813681,2.827351809882796,4.1497959357192205,76.92896748743293,12.278925172592825,57.537688442211056,20.728643216080403,0.0,341.7933417085427,0.42784123732929585,558.0,188,5.704456014274889,3.9079854285674105,4.1828163769732125,4.222978818036891,sprint,6,58,901.0,1.9230769230769231,-7.63057887759611,8,-3.707635939711888,37.1,46,1.0,87.93103448275862
2026 Rio de Janeiro (WC),1636,0,2.653522401980446,2.656629074772247,2.3005008241798865,0.19086326453013033,3.936008067223003,24.87315850602115,1.282485665242557,2.5328880290293916,34.97573558799601,0.0,0.0,0.0,0.0,322.1057457212714,0.4685440952840408,538.25,116,5.704456014274889,2.2000582586304884,2.1947113141971597,2.3290250368846936,sprint,8,60,840.0,0.9615384615384616,-7.72441824273605,5,-1.4130192389563534,25.0,50,62.0,93.33333333333333
2026 Asuncion (WC),3267,0,1.812579726528158,1.808323521463922,1.54793360820483,0.005717830986730051,3.81674488581085,46.2181272766231,2.004165159282692,2.596111982793463,73.2952291712378,0.0,0.0,0.0,0.0,337.85583103764924,0.36008272877290787,509.0000000000001,199,5.704456014274889,1.610973623974702,1.785839430460417,2.0621795278308594,standard,9,51,1779.0,2.182653647329121,-6.4794104004535376,5,-1.833180568285982,21.6,32,175.0,92.15686274509804
