race,date,dist,bike_km,run_km,field_n,place,bike_s,bike_best_s,bike_mean_s,bike_med_s,bike_top5_s,bike_pct_vs_best,bike_pct_vs_mean,bike_pct_vs_top5,bike_rank,bike_pctile,bike_kmh,bike_field_sd_s,bike_z,run_s,run_best_s,run_mean_s,run_med_s,run_top5_s,run_pct_vs_best,run_pct_vs_mean,run_pct_vs_top5,run_rank,run_pctile,run_kmh,run_field_sd_s,run_z,swim_s,swim_rank,pack_id,pack_size,gap_to_lead_s,n_packs,air_c,water_c,wbgt
2025 Calima (Americas Champs),2025-06-07,standard,40.0,10.0,57,2,3347.0,3347.0,3606.8947368421054,3441.0,3359.0,0.0,-7.205498241671656,-0.3572491813039595,1,96.49122807017544,43.02360322677024,313.0962702366322,-0.8300793128122603,2062.0,2042.0,2419.6666666666665,2344.0,2078.2,0.9794319294809012,-14.781650365064053,-0.7795207391011365,2,96.49122807017544,17.45877788554801,273.64349417583804,-1.307053426371017,1218.0,41,1,33,3.0,9,24.0,22.0,19.7
2025 Wollongong U23 Worlds,2025-10-15,standard,40.0,10.0,47,28,3427.0,3309.0,3408.148936170213,3407.0,3312.4,3.5660320338470837,0.5531173720057647,3.4597270861007097,33,29.78723404255319,42.01925882696236,62.99516155450707,0.2992462177190557,1903.0,1775.0,1996.3617021276596,1957.0,1825.8,7.211267605633803,-4.676592524699186,4.22828349216782,13,70.2127659574468,18.917498686284812,159.2441966087352,-0.5862800913056212,1122.0,47,4,11,220.0,6,20.1,,17.3
2025 Vina del Mar (WC),2025-11-02,sprint,18.5,5.0,63,23,1516.0,1516.0,1576.0,1551.0,1522.8,0.0,-3.807106598984772,-0.4465458366167557,1,98.4126984126984,43.931398416886545,49.95643263174746,-1.2010465287281107,912.0,843.0,931.2222222222222,923.0,856.4,8.185053380782918,-2.064192817086261,6.492293320878097,24,60.317460317460316,19.736842105263158,51.65813318359788,-0.3721044690853341,538.0,50,3,25,17.0,8,14.7,,13.0
2025 San Pedro de la Paz (WC),2025-11-09,sprint,21.2,5.0,57,10,1801.0,1801.0,1851.7719298245613,1832.0,1804.6,0.0,-2.741802540951763,-0.1994901917322348,1,96.49122807017544,42.376457523598,55.091488046138714,-0.9215930014821926,874.0,850.0,922.1754385964912,922.0,862.0,2.823529411764706,-5.224107754356588,1.3921113689095126,11,80.7017543859649,20.594965675057207,44.206141625270625,-1.0897906224177567,551.0,53,2,45,32.0,6,17.0,18.2,12.4
2026 Gulfport (Americas Cup),2026-03-27,sprint,19.8,5.0,59,5,1560.0,1560.0,1641.7627118644068,1587.0,1563.8,0.0,-4.980178394449952,-0.24299782580892407,1,98.30508474576271,45.69230769230769,114.1952863003051,-0.7159902524294329,1012.0,973.0,1134.677966101695,1116.0,1004.2,4.008221993833504,-10.811698981268483,0.7767377016530526,3,94.91525423728814,17.786561264822137,92.71395399160501,-1.3231877276294681,576.0,44,2,34,47.0,8,22.6,22.8,
2026 Chengdu (WC),2026-05-09,sprint,19.4,5.0,63,62,1579.0,1532.0,1554.8095238095239,1555.0,1535.6,3.0678851174934727,1.5558482129184377,2.826256837718162,63,0.0,44.23052564914502,9.905777302318766,2.4420573421142415,915.0,843.0,894.2222222222222,886.0,845.8,8.540925266903916,2.3235586481113377,8.181603215890288,48,22.22222222222222,19.672131147540984,36.60752806611108,0.5675821033382632,613.0,63,2,1,92.0,2,24.3,23.6,
2026 Huatulco (WC),2026-06-14,sprint,20.0,5.0,54,2,1685.0,1682.0,1728.7037037037037,1708.0,1687.4,0.178359096313912,-2.528119978575254,-0.14223065070523236,2,96.29629629629629,42.72997032640949,62.59050191059332,-0.6982481745574073,885.0,883.0,980.6481481481482,968.5,886.6,0.22650056625141565,-9.75356434708715,-0.1804646965937314,3,94.44444444444444,20.33898305084746,76.35373423975409,-1.2526977115200253,572.0,47,1,44,0.0,7,35.0,30.0,
2026 Edmonton (WC),2026-07-18,sprint,20.4,5.0,58,6,1595.0,1594.0,1656.4137931034484,1624.5,1598.8,0.06273525721455457,-3.707635939711888,-0.23767825869401765,2,96.55172413793103,46.043887147335425,77.42931909512954,-0.7931594106877716,901.0,884.0,975.4310344827586,956.0,887.2,1.9230769230769231,-7.63057887759611,1.5554553651938632,8,86.20689655172413,19.97780244173141,73.80821807259285,-1.0084383070941123,581.0,51,1,46,1.0,5,37.1,25.8,
2026 Rio de Janeiro (WC),2026-08-02,sprint,20.8,5.0,60,8,1621.0,1603.0,1644.2333333333333,1636.0,1605.0,1.122894572676232,-1.4130192389563534,0.9968847352024922,8,86.66666666666667,46.1937075879087,47.49357375501026,-0.4891889890868106,840.0,832.0,910.3166666666667,893.5,834.6,0.9615384615384616,-7.72441824273605,0.6470165348669994,5,90.0,21.428571428571427,63.54352349792285,-1.1065906137383974,580.0,57,2,50,62.0,3,25.0,21.9,
2026 Asuncion (WC),2026-08-09,standard,40.0,10.0,51,9,3255.0,3146.0,3315.7843137254904,3297.0,3153.6,3.4647171010807374,-1.833180568285982,3.2153729071537325,10,80.3921568627451,44.23963133640553,97.04356005948878,-0.6263611278092944,1779.0,1741.0,1902.2549019607843,1876.0,1760.4,2.182653647329121,-6.4794104004535376,1.056578050443076,5,90.19607843137256,20.236087689713322,102.4905543232653,-1.2025976713134578,1109.0,41,4,32,175.0,6,21.6,15.0,
