country,teams,medals,avg_finish,avg_individual_country_rank,avg_prior_365_country_rank,all_individual_top2_rate,all_prior_365_top2_rate
Great Britain,17,12,3.411764705882353,1.7447916666666665,9.524509803921568,0.23529411764705882,0.0
Germany,19,12,3.6315789473684212,1.9019607843137256,9.899122807017545,0.47368421052631576,0.0
United States,17,8,4.882352941176471,1.6979166666666667,8.029411764705882,0.35294117647058826,0.0
France,13,7,3.1538461538461537,1.9097222222222223,6.6923076923076925,0.3076923076923077,0.0
Italy,19,6,6.684210526315789,1.4479166666666667,6.671052631578948,0.2631578947368421,0.0
Switzerland,16,5,5.6875,1.734375,4.640625,0.375,0.0
New Zealand,14,5,6.214285714285714,1.8012820512820513,3.357142857142857,0.2857142857142857,0.14285714285714285
China,4,4,2.25,1.4583333333333333,10.0,0.5,0.0
Australia,12,4,6.5,1.9772727272727273,11.125,0.3333333333333333,0.0
Brazil,13,4,7.538461538461538,1.4848484848484846,3.8653846153846154,0.46153846153846156,0.07692307692307693
South Africa,7,4,7.857142857142857,1.6944444444444444,3.357142857142857,0.42857142857142855,0.0
Morocco,3,3,1.3333333333333333,1.5555555555555556,2.3333333333333335,0.0,0.0
"Hong Kong, China",3,3,2.0,1.3888888888888886,3.4166666666666665,0.3333333333333333,0.0
Ecuador,6,3,3.3333333333333335,1.388888888888889,3.0416666666666665,0.6666666666666666,0.0
Norway,10,3,6.0,1.4444444444444444,2.95,0.3,0.2
Canada,10,3,7.8,1.6759259259259258,8.025,0.1,0.0
Hungary,16,3,8.1875,1.5333333333333334,3.640625,0.125,0.0
Chile,4,2,4.25,1.7083333333333335,3.75,0.75,0.0
Argentina,6,2,5.666666666666667,1.486111111111111,2.763888888888889,0.16666666666666666,0.16666666666666666
Belgium,12,2,7.916666666666667,1.3863636363636365,4.395833333333333,0.25,0.0
Denmark,14,2,8.857142857142858,1.3205128205128207,4.113095238095238,0.14285714285714285,0.0
Japan,11,2,10.0,2.566666666666667,9.454545454545455,0.36363636363636365,0.0
Mexico,9,2,10.333333333333334,1.787037037037037,10.38888888888889,0.3333333333333333,0.0
Algeria,2,1,3.5,1.1666666666666665,2.666666666666667,0.0,0.0
Egypt,2,1,3.5,1.3333333333333333,3.875,0.0,0.0
Netherlands,16,1,8.9375,1.5178571428571428,6.083333333333333,0.125,0.0
Finland,2,1,10.0,1.3333333333333335,1.75,0.0,0.0
Sweden,4,1,11.75,1.6666666666666665,6.125,0.0,0.0
Bulgaria,3,1,12.666666666666666,1.1666666666666667,1.5555555555555556,0.3333333333333333,0.0
Republic of Korea,1,0,4.0,1.0,7.0,0.0,0.0
Tunisia,2,0,4.5,1.1666666666666665,2.5833333333333335,0.0,0.0
Chinese Taipei,2,0,5.0,1.25,1.5416666666666665,0.5,0.0
Paraguay,1,0,5.0,1.5,1.0,0.0,0.0
Kazakhstan,3,0,5.666666666666667,1.611111111111111,2.777777777777778,0.0,0.0
Kenya,1,0,6.0,,,0.0,0.0
Peru,1,0,6.0,1.75,,0.0,0.0
Uzbekistan,1,0,6.0,1.3333333333333333,1.5,0.0,1.0
Colombia,4,0,6.25,1.5416666666666665,3.4375,0.25,0.0
Venezuela,5,0,7.0,1.3,2.15,0.2,0.4
Zimbabwe,1,0,7.0,1.0,2.0,0.0,0.0
Philippines,2,0,8.0,1.5416666666666665,3.125,0.0,0.0
Costa Rica,1,0,8.0,1.3333333333333333,1.75,0.0,0.0
Indonesia,1,0,8.0,2.0,2.75,0.0,0.0
"Macau, China",1,0,8.0,1.5,1.75,1.0,0.0
Portugal,11,0,8.363636363636363,1.4166666666666665,3.2954545454545454,0.36363636363636365,0.0
Spain,18,0,8.833333333333334,1.7111111111111112,8.708333333333334,0.3333333333333333,0.0
Singapore,1,0,9.0,,1.75,0.0,0.0
Poland,8,0,9.5,1.4285714285714286,5.197916666666667,0.5,0.0
Cuba,2,0,9.5,1.4166666666666665,1.4166666666666665,0.0,0.5
Austria,10,0,10.2,1.4259259259259258,3.45,0.0,0.0
Guatemala,1,0,11.0,,1.5,0.0,1.0
Nepal,1,0,11.0,1.0,2.0,0.0,0.0
Czech Republic,12,0,11.75,1.6041666666666667,4.3125,0.16666666666666666,0.0
Ireland,4,0,12.25,1.4583333333333333,3.0208333333333335,0.0,0.0
Israel,3,0,13.0,1.111111111111111,2.444444444444444,0.0,0.0
Ukraine,3,0,13.333333333333334,1.4444444444444444,3.3333333333333335,0.6666666666666666,0.0
Slovakia,4,0,14.5,1.5208333333333333,3.1458333333333335,0.0,0.0
Luxembourg,3,0,15.0,1.0,1.75,0.0,0.3333333333333333
Individual Neutral Athlete,1,0,15.0,1.5,3.25,0.0,0.0
Türkiye,2,0,17.0,1.3333333333333333,1.875,0.0,0.0
Romania,1,0,18.0,1.5,3.0,0.0,0.0
Slovenia,1,0,18.0,1.0,1.5,0.0,1.0
Latvia,1,0,21.0,1.0,1.3333333333333333,0.0,0.0
