relay_athlete,country,gender,relay_slots,events,first_event,last_event
Zsanett Kuttor-Bragmayer,Hungary,female,6,6,2022-08-12,2024-08-09
Lotte Miller,Norway,female,5,5,2021-05-21,2024-07-30
Oscar Gladney Rundqvist,Denmark,male,5,5,2022-06-11,2024-07-14
Emil Holm,Denmark,male,5,5,2020-09-06,2023-08-20
Mitch Kolkman,Netherlands,male,5,5,2022-06-11,2023-08-20
Márta Kropkó,Hungary,female,4,4,2022-06-11,2025-07-12
Miguel Hidalgo,Brazil,male,4,4,2020-09-06,2023-08-20
Nicolò Strada,Italy,male,4,4,2022-06-11,2023-08-20
Barbara De Koning,Netherlands,female,3,3,2022-06-24,2025-07-12
Carlotta Missaglia,Italy,female,3,3,2021-09-18,2025-07-12
Nicola Azzano,Italy,male,3,3,2021-05-21,2025-02-15
Samuel Dickinson,Great Britain,male,3,3,2023-08-04,2024-07-30
Casper Stornes,Norway,male,3,3,2023-07-15,2024-05-17
Anne Holm,Denmark,female,3,3,2022-06-11,2023-08-20
Claire Michel,Belgium,female,3,3,2021-05-21,2023-08-20
Eva Daniels,Luxembourg,female,3,3,2023-06-27,2023-08-20
Jelle Geens,Belgium,male,3,3,2021-05-21,2023-08-20
Alessio Crociani,Italy,male,3,3,2021-09-18,2023-07-29
Jan Volar,Czech Republic,male,3,3,2020-09-06,2022-08-12
Sif Bendix Madsen,Denmark,female,3,3,2021-05-21,2022-08-12
Jorik Van Egdom,Netherlands,male,3,3,2020-09-06,2021-09-18
Fanni Szalai,Hungary,female,2,2,2025-07-12,2025-07-19
Vittoria Lopes,Brazil,female,2,2,2023-08-20,2025-07-12
Gabriel Terán Carvajal,Ecuador,male,2,2,2023-06-18,2025-04-05
João Nuno Batista,Portugal,male,2,2,2023-07-15,2024-08-09
Sylvain Fridelance,Switzerland,male,2,2,2024-07-30,2024-08-09
Alice Betto,Italy,female,2,2,2023-08-20,2024-07-14
Brock Hoel,Canada,male,2,2,2021-08-13,2024-07-14
Charlotte McShane,Australia,female,2,2,2022-06-11,2024-07-14
Clara Carlquist,Denmark,female,2,2,2023-07-29,2024-07-14
Dylan McCullough,New Zealand,male,2,2,2023-08-20,2024-07-14
Gianluca Pozzatti,Italy,male,2,2,2021-09-18,2024-07-14
