event_id,prog_id,event_name,event_class,event_date,country,gender,athlete_id,relay_athlete,team_finish,weekend_match_event_id,weekend_match_event_name,weekend_match_event_date,weekend_match_shared_tokens,prior_365_country_rank,prior_365_pool_size,prior_365_form_score,prior_365_starts,individual_event_name,individual_event_date,individual_event_id,individual_prog_id,individual_prog_name,individual_country_rank,individual_pool_size,raced_individual_comparison,medal_team,individual_top2,individual_top3,prior_365_top2,prior_365_top3
163893,655049,Paris 2024 Olympic Games,Major Games,2024-07-30,Spain,female,31827,Anna Godoy Contreras,9,,,,,3.0,31,0.7503372605570529,9,Paris 2024 Olympic Games,2024-07-30,163893,655048.0,Elite Women,1.0,2.0,True,False,True,True,False,True
186039,630338,2024 World Triathlon Mixed Relay Olympic Qualification Event Huatulco,Olympic Qualifier,2024-05-17,Austria,female,41079,Julia Hauser,5,183770.0,2024 World Triathlon Cup Huatulco,2024-05-18,huatulco,3.0,10,0.5517168745840917,9,2024 World Triathlon Cup Huatulco,2024-05-18,183770,630337.0,Elite Women,1.0,3.0,True,False,True,True,False,True
194194,674215,2025 World Triathlon Mixed Relay Championships Hamburg,World Championship Level,2025-07-12,France,female,41158,Leonie Periault,2,194193.0,2025 World Triathlon Championship Series Hamburg,2025-07-12,hamburg,12.0,21,0.7184830270653699,6,2025 World Triathlon Championship Series Hamburg,2025-07-12,194193,674121.0,Elite Women,1.0,4.0,True,True,True,True,False,False
184438,634474,2024 Europe Triathlon Sprint and Relay Championships Balikesir,World Championship Level,2024-08-09,Switzerland,female,45790,Jolanda Annen,9,,,,,3.0,23,0.6978853853853854,6,2024 Europe Triathlon Sprint and Relay Championships Balikesir,2024-08-09,184438,634469.0,Elite Women,2.0,4.0,True,False,True,True,False,True
163893,655049,Paris 2024 Olympic Games,Major Games,2024-07-30,Norway,female,47631,Lotte Miller,11,,,,,2.0,4,0.41861129067011416,4,Paris 2024 Olympic Games,2024-07-30,163893,,,,,False,False,False,False,True,True
186039,630338,2024 World Triathlon Mixed Relay Olympic Qualification Event Huatulco,Olympic Qualifier,2024-05-17,Norway,female,47631,Lotte Miller,1,183770.0,2024 World Triathlon Cup Huatulco,2024-05-18,huatulco,2.0,4,0.5061502879774975,6,2024 World Triathlon Cup Huatulco,2024-05-18,183770,630337.0,Elite Women,2.0,2.0,True,True,True,True,True,True
163893,655049,Paris 2024 Olympic Games,Major Games,2024-07-30,Portugal,female,47942,Melanie Santos,5,,,,,2.0,7,0.5288601325564196,6,Paris 2024 Olympic Games,2024-07-30,163893,655048.0,Elite Women,2.0,2.0,True,False,True,True,True,True
163893,655049,Paris 2024 Olympic Games,Major Games,2024-07-30,Great Britain,female,49545,Georgia Taylor-Brown,3,,,,,3.0,28,0.9204927211646137,2,Paris 2024 Olympic Games,2024-07-30,163893,655048.0,Elite Women,2.0,3.0,True,True,True,True,False,True
185037,629460,2024 Oceania Triathlon Sprint Championships Devonport,Continental Championship,2024-03-16,Australia,female,54913,Jaz Hedgeland,1,,,,,17.0,38,0.5614145584858681,10,2024 Oceania Triathlon Sprint Championships Devonport,2024-03-16,185037,629459.0,Elite Women,1.0,17.0,True,True,True,True,False,False
185651,627967,2024 World Triathlon Mixed Relay Championships Hamburg,World Championship Level,2024-07-14,Netherlands,female,55701,Maya Kingma,6,183765.0,2024 World Triathlon Championship Series Hamburg,2024-07-13,hamburg,8.0,20,0.5811801857191928,6,2024 World Triathlon Championship Series Hamburg,2024-07-13,183765,627965.0,Elite Women,2.0,3.0,True,False,True,True,False,False
194869,675097,2025 Americas Triathlon Championships Calima,Continental Championship,2025-06-07,Ecuador,male,56054,Ramón Armando Matute,3,,,,,3.0,17,0.7729347054112456,3,2025 Americas Triathlon Championships Calima,2025-06-07,194869,675089.0,Elite Men,2.0,4.0,True,True,True,True,False,True
