proj,athlete_full_name,country,rank_position,elo_rating,n_top_races,predicted_rank,ability,p_win,p_medal
1,Matthew Hauser,Australia,3,2426.63,13,3,1.6876297063480543,14.105,33.345
2,Miguel Hidalgo,Brazil,2,2387.5,16,3,1.6357811806780989,12.43,30.964999999999996
3,Vasco Vilaca,Portugal,1,2316.84,14,1,1.5959421425273503,11.03,28.189999999999998
4,Csongor Lehmann,Hungary,5,2321.24,15,6,1.439679110776982,7.8549999999999995,22.400000000000002
5,Henry Graf,Germany,4,2256.33,10,3,1.4369263420188934,8.674999999999999,22.875
6,David Cantero Del Campo,Spain,6,2272.32,19,9,1.2779880002503492,5.56,16.845
7,Luke Willian,Australia,8,2208.58,23,7,1.2341046652222374,5.175,15.67
8,Dorian Coninx,France,7,2207.65,10,8,1.2086619943321917,4.505,14.915000000000001
9,Hayden Wilde,New Zealand,30,2346.87,10,14,1.12945853385024,3.585,12.565000000000001
10,Oliver Conway,Great Britain,11,2023.95,4,2,1.0972365399903805,3.5749999999999997,11.97
11,Alessio Crociani,Italy,10,2153.17,11,10,1.0583573999388791,3.115,10.82
12,Charles Paquet,Canada,12,2208.98,15,13,1.0432834918904046,3.305,10.705
13,Ricardo Batista,Portugal,9,2209.28,16,15,1.0001989943399112,2.8649999999999998,9.545
14,Max Studer,Switzerland,13,2085.83,10,10,0.9470338051990591,2.445,8.625
15,Tom Richard,France,14,2122.32,14,12,0.9375093420306571,2.35,8.515
16,Tyler Mislawchuk,Canada,16,2142.24,13,16,0.8418075804584362,1.9849999999999999,7.045
17,Vetle Bergsvik Thorn,Norway,24,2112.11,16,17,0.7320575815378594,1.145,4.88
18,Tim Hellwig,Germany,50,2150.61,11,18,0.637206112759666,0.9950000000000001,3.9899999999999998
19,Yanis Seguin,France,21,2029.12,15,19,0.5686486466191452,0.715,3.1
20,Miguel Tiago Silva,Portugal,23,2016.81,10,21,0.48394512144165386,0.625,2.765
21,Manoel Messias,Brazil,36,2108.53,12,24,0.4692638620070122,0.515,2.685
22,Diego Moya,Chile,18,2016.74,17,24,0.4209073660890491,0.51,2.455
23,Márk Dévay,Hungary,20,1999.59,22,23,0.4155504528899449,0.51,2.3800000000000003
24,Jack Willis,Great Britain,25,1933.67,19,20,0.38325612009356613,0.47000000000000003,2.325
25,Jawad Abdelmoula,Morocco,29,1958.92,6,22,0.3434526165899202,0.375,1.77
26,Callum McClusky,Australia,17,1972.78,26,26,0.304522080205584,0.31,1.5350000000000001
27,Ian Pennekamp,Netherlands,40,1931.87,10,26,0.13777219487006814,0.26,1.1199999999999999
28,Roberto Sanchez Mantecon,Spain,31,1978.93,17,31,0.10398305438288588,0.145,0.955
29,Nicola Azzano,Italy,22,1974.48,25,33,0.08211896876069368,0.18,0.74
30,John Reed,United States,15,1825.97,24,28,0.04423552343541502,0.135,0.7849999999999999
31,Ben Dijkstra,World Triathlon,74,2019.78,11,30,-0.009481379653368753,0.11,0.5499999999999999
32,Denis Kolobrodov,Individual Neutral Athlete,42,1927.44,10,31,-0.02188622311664988,0.1,0.545
33,Tjebbe Kaindl,Austria,19,1901.43,21,34,-0.038150636463129245,0.08499999999999999,0.5700000000000001
34,Reese Vannerson,United States,48,1857.83,9,28,-0.06419170617184296,0.08499999999999999,0.475
35,Shachar Sagiv,Israel,58,1931.09,15,36,-0.23539768447490256,0.025,0.23500000000000001
36,Simon Westermann,Switzerland,54,1938.42,18,38,-0.26364591925835945,0.01,0.15
37,Jérémy Quindos,Uzbekistan,45,1834.83,4,35,-0.28483423835934374,0.04,0.255
38,Takumi Hojo,Japan,37,1783.92,21,38,-0.40727648167324837,0.015,0.13999999999999999
39,Aoba Yasumatsu,Japan,52,1894.82,27,42,-0.4323898484012109,0.01,0.105
40,Lukas Pertl,Austria,75,1889.42,11,38,-0.4327221539272063,0.015,0.125
41,Arnaud Mengal,Belgium,67,1845.85,17,45,-0.6596789617879562,0.0,0.06999999999999999
42,Panagiotis Bitados,Greece,125,1855.41,11,37,-0.687095557822509,0.01,0.055
43,Oscar Coggins,"Hong Kong, China",84,1777.29,5,41,-0.7231725385010033,0.015,0.04
44,Mitch Kolkman,Netherlands,114,1855.89,13,42,-0.778815413044665,0.0,0.02
45,Maciej Bruzdziak,Poland,77,1832.82,11,47,-0.782865928486016,0.005,0.04
46,Andree Buc,Chile,113,1857.17,6,45,-0.8586245471249012,0.0,0.025
47,Xirui Zhang,China,91,1762.01,5,44,-0.8643482824042765,0.005,0.025
48,Saxon Morgan,New Zealand,51,1712.84,20,50,-0.9208423455062621,0.015,0.025
49,James Corbett,World Triathlon,76,1824.66,8,53,-0.9626511974839862,0.005,0.025
50,Aram Michell Peñaflor Moysen,Mexico,112,1806.23,16,48,-1.0138730150911797,0.0,0.01
51,Sebastian Wernersen,Norway,101,1786.76,13,49,-1.0192952724517266,0.0,0.015
52,Junjie Fan,China,116,1779.06,7,51,-1.1581843451008824,0.0,0.005
53,Daryn Konysbayev,Kazakhstan,99,1687.37,3,52,-1.2398563524881505,0.0,0.005
54,Badr Siwane,Morocco,86,1599.42,9,54,-1.363626602062496,0.0,0.0
55,Grigory Antipov,Individual Neutral Athlete,121,1664.01,11,55,-1.4629110064821118,0.0,0.005
56,Kuba Gajda,Poland,129,1668.36,4,56,-1.5228496642998408,0.0,0.0
57,Ayan Beisenbayev,Kazakhstan,120,1665.18,5,58,-1.5428790514533373,0.0,0.0
58,Erik Yamir Ramos Croda,Mexico,131,1670.37,9,57,-1.5580863170321373,0.0,0.005
59,Gültigin Er,Türkiye,132,1649.32,2,60,-1.6795151863599198,0.0,0.0
60,Julian Birkel,South Africa,145,1650.85,5,59,-1.70937067505198,0.0,0.0
