==========================================================================================
Bundle: models/bundle_elite_v56.joblib  (version: v1.0)
  106 full features, 64 split features
==========================================================================================

--- ranker_lgbm  (top 40) ---
                            feature ranker_lgbm
             field_elo_gap_to_top10       3.40%
              field_elo_gap_to_top3       3.20%
                           elo_peak       3.16%
                   wt_rank_position       2.61%
               h2h_avg_position_gap       2.36%
                    wt_total_points       2.29%
                       h2h_win_rate       2.28%
                    swim_form_trend       1.85%
                ema_run_split_pct_5       1.84%
                         tier_delta       1.72%
        h2h_win_rate_vs_field_top10       1.66%
               ema_bike_split_pct_5       1.63%
        ema_swim_to_t1_pos_change_5       1.58%
                     ema_swim_sec_5       1.51%
       h2h_n_unknown_field_athletes       1.51%
                  ema_t2_rank_pct_5       1.44%
              ema_finish_pct_tier34       1.43%
                 ema_bike_gap_sec_7       1.41%
                  ema_t1_rank_pct_5       1.41%
               days_since_last_race       1.41%
        ema_bike_to_t2_pos_change_5       1.40%
                          elo_races       1.39%
                   std_t1t2_sec_24m       1.32%
                    ema_bike_pack_7       1.32%
              h2h_n_opponents_faced       1.32%
                       ema_t2_sec_5       1.27%
                   std_bike_sec_24m       1.26%
      field_finish_pct_gap_to_top10       1.25%
            ema_finish_pct_standard       1.25%
                      form_momentum       1.23%
                   std_swim_sec_24m       1.22%
                  std_total_sec_24m       1.21%
         ema_run_split_pct_tier12_5       1.21%
                    std_run_sec_24m       1.20%
                     bike_pack_rate       1.20%
h2h_avg_position_gap_vs_field_top10       1.19%
                 ema_swim_pos_pct_7       1.17%
      field_perf_ratio_gap_to_top10       1.14%
        ema_bike_split_pct_tier12_5       1.13%
                   ema_perf_ratio_5       1.13%

--- ranker_xgb  (top 40) ---
                            feature ranker_xgb
               h2h_avg_position_gap     19.29%
                       h2h_win_rate     15.17%
             field_elo_gap_to_top10      4.50%
              field_elo_gap_to_top3      3.89%
                         n_entrants      1.86%
                   wt_rank_position      1.69%
                    wt_total_points      1.45%
                           elo_peak      1.36%
               best_swim_behind_12m      1.03%
                  best_swim_pct_12m      1.03%
       h2h_n_unknown_field_athletes      0.99%
                         event_tier      0.97%
        h2h_win_rate_vs_field_top10      0.90%
              ema_finish_pct_tier34      0.86%
              h2h_n_opponents_faced      0.84%
                         elo_rating      0.83%
                     ema_swim_sec_5      0.82%
                    races_tier1_24m      0.80%
                         tier_delta      0.78%
                  athlete_t1t2_rate      0.74%
                   ema_finish_pct_3      0.68%
               ema_finish_pct_tier1      0.67%
                avg_swim_gap_leader      0.67%
           h2h_win_rate_recent_180d      0.66%
                h2h_dominance_count      0.66%
                   std_swim_pct_24m      0.65%
                ema_run_split_pct_5      0.65%
          n_athletes_within_100_elo      0.65%
                 ema_swim_gap_sec_7      0.64%
                    n_matched_races      0.63%
                    ema_swim_pack_7      0.62%
         ema_run_split_pct_tier12_5      0.62%
             field_depth_top10_mean      0.62%
                   std_swim_sec_24m      0.61%
                 ema_bike_gap_sec_7      0.60%
               std_swim_gap_sec_24m      0.60%
h2h_avg_position_gap_vs_field_top10      0.59%
  h2h_n_shared_races_vs_field_top10      0.59%
              ema_swim_behind_sec_5      0.58%
                          bike_laps      0.58%

--- pct_total  (top 40) ---
                            feature pct_total
                         elo_rating     2.83%
                   wt_rank_position     2.63%
             field_elo_gap_to_top10     2.58%
              field_elo_gap_to_top3     2.41%
                       h2h_win_rate     1.88%
                          elo_races     1.85%
          n_athletes_within_100_elo     1.78%
             field_depth_top10_mean     1.73%
                    swim_form_trend     1.58%
               ema_bike_split_pct_5     1.56%
                         n_entrants     1.54%
                           elo_peak     1.54%
       h2h_n_unknown_field_athletes     1.51%
              ema_finish_pct_sprint     1.43%
           n_athletes_within_50_elo     1.39%
                      form_momentum     1.39%
        h2h_win_rate_vs_field_top10     1.34%
h2h_avg_position_gap_vs_field_top10     1.34%
                 ema_bike_pos_pct_7     1.32%
                  ema_t2_rank_pct_5     1.32%
                         tier_delta     1.31%
               days_since_last_race     1.27%
               h2h_avg_position_gap     1.27%
