event_id,prog_id,event_name,event_date,location,gender,athlete_id,athlete_name,finish_position,swim_overall_position,bike_overall_position,gap_to_leader_sec,swim_pack_id,swim_pack_size,swim_pack_rank,swim_init_rank_at_bike,swim_to_bike_delta,t1_pack_id,t1_pack_size,t1_pack_rank,t1_init_rank_at_bike,t1_to_bike_delta,first_bike_pack_id,first_bike_pack_size,first_bike_pack_rank,first_bike_init_rank_at_bike,first_bike_to_bike_delta,bike_exit_pack_id,bike_exit_pack_size,bike_exit_pack_rank,first_bike_segment_sec,first_bike_segment_rank,first_bike_fastest_sec,first_bike_gap_to_fastest_sec
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,11001,Gábor Faldum,,,,0,6.0,2.0,1.0,2.0,1.0,,,,,,,,,,,4.0,4.0,3.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,39264,Kenji Nener,23.0,18.0,15.0,5,4.0,15.0,14.0,7.0,-7.0,,,,,,,,,,,0.0,22.0,15.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,42996,Erwin Vanderplancke,41.0,45.0,41.0,176,8.0,1.0,1.0,1.0,0.0,,,,,,,,,,,6.0,4.0,1.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,50700,Bence Bicsák,34.0,26.0,37.0,87,5.0,19.0,6.0,15.0,9.0,,,,,,,,,,,4.0,4.0,1.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,55886,Kauê Willy,29.0,8.0,21.0,7,4.0,15.0,2.0,11.0,9.0,,,,,,,,,,,0.0,22.0,21.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,56550,Adrien Briffod,5.0,31.0,11.0,4,5.0,19.0,10.0,4.0,-6.0,,,,,,,,,,,0.0,22.0,11.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,58566,Emil Holm,45.0,36.0,45.0,232,5.0,19.0,16.0,19.0,3.0,,,,,,,,,,,7.0,1.0,1.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,63428,Antonio Serrat Seoane,18.0,29.0,33.0,51,5.0,19.0,8.0,11.0,3.0,,,,,,,,,,,2.0,12.0,10.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,63429,Roberto Sanchez Mantecon,7.0,26.0,23.0,11,5.0,19.0,5.0,6.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,67535,Jonas Schomburg,21.0,15.0,15.0,5,4.0,15.0,10.0,7.0,-3.0,,,,,,,,,,,0.0,22.0,15.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,69143,Manoel Messias,14.0,42.0,30.0,50,7.0,3.0,1.0,1.0,0.0,,,,,,,,,,,2.0,12.0,7.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,73393,Mikhail Antipov,39.0,38.0,38.0,88,5.0,19.0,19.0,16.0,-3.0,,,,,,,,,,,4.0,4.0,2.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,76434,Casper Stornes,36.0,26.0,33.0,51,5.0,19.0,7.0,11.0,4.0,,,,,,,,,,,2.0,12.0,10.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,79706,Charles Paquet,22.0,29.0,7.0,3,5.0,19.0,9.0,2.0,-7.0,,,,,,,,,,,0.0,22.0,7.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,80795,Matthew Hauser,2.0,1.0,11.0,4,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,22.0,11.0,207.0,2.0,205.0,2.0
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,83242,James Edgar,32.0,22.0,33.0,51,5.0,19.0,4.0,11.0,7.0,,,,,,,,,,,2.0,12.0,10.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,83434,Ben Dijkstra,8.0,9.0,2.0,1,4.0,15.0,3.0,2.0,-1.0,,,,,,,,,,,0.0,22.0,2.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,86042,Vasco Vilaca,3.0,12.0,1.0,0,4.0,15.0,6.0,1.0,-5.0,,,,,,,,,,,0.0,22.0,1.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,92397,Brandon Copeland,24.0,18.0,24.0,47,4.0,15.0,15.0,12.0,-3.0,,,,,,,,,,,2.0,12.0,1.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,92430,Callum McClusky,37.0,41.0,28.0,49,6.0,2.0,2.0,1.0,-1.0,,,,,,,,,,,2.0,12.0,5.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,93364,Arnaud Mengal,15.0,36.0,30.0,50,5.0,19.0,15.0,9.0,-6.0,,,,,,,,,,,2.0,12.0,7.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,94517,Maxime Fluri,30.0,38.0,27.0,48,5.0,19.0,17.0,8.0,-9.0,,,,,,,,,,,2.0,12.0,4.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,94563,Tjebbe Kaindl,17.0,18.0,4.0,2,4.0,15.0,12.0,3.0,-9.0,,,,,,,,,,,0.0,22.0,4.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,98098,Simon Westermann,25.0,10.0,4.0,2,4.0,15.0,5.0,3.0,-2.0,,,,,,,,,,,0.0,22.0,4.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,98121,Ricardo Batista,6.0,22.0,15.0,5,5.0,19.0,1.0,5.0,4.0,,,,,,,,,,,0.0,22.0,15.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,98130,Miguel Tiago Silva,13.0,2.0,4.0,2,1.0,2.0,2.0,1.0,-1.0,,,,,,,,,,,0.0,22.0,4.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,103124,Harry Leleu,16.0,10.0,11.0,4,4.0,15.0,4.0,6.0,2.0,,,,,,,,,,,0.0,22.0,11.0,,,,
194195,671089,2025 World Triathlon Championship Series Abu Dhabi,2025-02-15,Abu Dhabi,Men,103530,Aram Michell Peñaflor Moysen,33.0,38.0,36.0,59,5.0,19.0,18.0,14.0,-4.0,,,,,,,,,,,3.0,1.0,1.0,,,,
