athlete_full_name,country,gender,medals,golds,silvers,bronzes,top_n_finishes,wtcs_starts,last_medal_date
Beth Potter,Great Britain,female,15,6,5,4,19,21,2026-05-16
Matthew Hauser,Australia,male,12,7,5,0,15,18,2026-05-16
Lisa Tertsch,Germany,female,9,3,3,3,16,22,2025-10-15
Cassandre Beaugrand,France,female,8,6,1,1,12,12,2025-08-31
Vasco Vilaca,Portugal,male,8,1,5,2,12,19,2026-04-25
Hayden Wilde,New Zealand,male,7,4,2,1,10,13,2025-02-15
Alex Yee,Great Britain,male,6,5,0,1,10,11,2024-10-17
Léo Bergere,France,male,6,1,3,2,13,14,2025-05-31
Miguel Hidalgo,Brazil,male,6,1,2,3,11,18,2026-05-16
Emma Lombardi,France,female,6,0,3,3,15,16,2025-10-15
Leonie Periault,France,female,5,2,2,1,12,17,2026-04-25
Georgia Taylor-Brown,Great Britain,female,4,2,1,1,8,11,2024-09-27
Jeanne Lehair,Luxembourg,female,4,1,1,2,14,22,2026-05-16
Taylor Knibb,United States,female,4,0,2,2,6,7,2024-05-11
Flora Duffy,Bermuda,female,3,3,0,0,5,5,2022-11-24
Pierre Le Corre,France,male,3,1,0,2,7,9,2024-07-13
Henry Graf,Germany,male,3,1,2,0,7,8,2026-04-25
Manoel Messias,Brazil,male,3,0,1,2,3,10,2023-06-24
Taylor Spivey,United States,female,3,0,1,2,17,20,2025-09-14
Sophie Evans,Great Britain,female,2,1,1,0,5,8,2023-05-13
Morgan Pearson,United States,male,2,1,1,0,3,12,2024-05-11
Jelle Geens,Belgium,male,2,0,0,2,6,10,2023-06-24
Luke Willian,Australia,male,2,0,0,2,6,18,2026-05-16
Csongor Lehmann,Hungary,male,2,0,0,2,12,15,2025-09-14
Bianca Seregni,Italy,female,2,0,2,0,7,15,2025-10-15
Alessio Crociani,Italy,male,2,0,0,2,4,7,2025-10-15
Vincent Luis,France,male,1,1,0,0,8,9,2022-11-05
Dorian Coninx,France,male,1,1,0,0,7,11,2023-09-22
Max Studer,Switzerland,male,1,1,0,0,3,6,2025-09-26
Tilda Månsson,Sweden,female,1,1,0,0,4,11,2026-05-16
Jonathan Brownlee,Great Britain,male,1,0,1,0,1,6,2022-10-08
Antonio Serrat Seoane,Spain,male,1,0,1,0,2,15,2022-11-05
Roberto Sanchez Mantecon,Spain,male,1,0,0,1,6,18,2022-11-05
Laura Lindemann,Germany,female,1,0,0,1,5,14,2025-02-15
Lena Meißner,Germany,female,1,0,0,1,2,11,2022-11-24
Nina Eim,Germany,female,1,0,1,0,6,10,2025-02-15
Charles Paquet,Canada,male,1,0,0,1,7,15,2026-04-25
Rosa Maria Tapia Vidal,Mexico,female,1,0,1,0,5,17,2023-05-13
Summer Rappaport,United States,female,1,0,0,1,4,13,2023-06-24
Olivia Mathias,Great Britain,female,1,0,0,1,2,11,2025-05-31
Kate Waugh,Great Britain,female,1,0,1,0,8,14,2023-09-22
Annika Koch,Germany,female,1,0,0,1,3,18,2023-07-29
Tim Hellwig,Germany,male,1,0,1,0,3,8,2023-09-22
Tanja Neubert,Germany,female,1,0,0,1,6,11,2025-09-26
David Cantero Del Campo,Spain,male,1,0,1,0,7,7,2025-10-15
Jawad Abdelmoula,Morocco,male,1,0,0,1,1,8,2022-07-09
John Reed,United States,male,1,0,0,1,1,12,2025-09-26
