event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,t2time_sec_outlier,runtime_sec_outlier,bike_speed_kmh_outlier,bike_pace_s_per_km_outlier,biketime_sec_outlier,swim_pace_s_per_100m_outlier,swimtime_sec_outlier,run_pace_s_per_km_outlier,t1time_sec_outlier
152698,452754,60937,Hailey Danz,United States,FINISH,1.0,00:12:48,00:03:17,00:41:20,00:01:35,00:23:11,01:22:09,PTS2 Women,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,768.0,197.0,2480.0,95.0,1391.0,4929.0,,,,False,768.0,4929.0,4931.0,4931.0,768.0,-2.0,Unknown,,,,,,1:22:09,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
152698,452754,114644,Veronica Yoko Plebani,Italy,FINISH,2.0,00:12:23,00:04:04,00:41:57,00:01:21,00:25:15,01:24:57,PTS2 Women,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,743.0,244.0,2517.0,81.0,1515.0,5097.0,,,,False,743.0,5097.0,5100.0,5100.0,743.0,-3.0,Unknown,,,,,,1:24:57,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
154584,453930,114644,Veronica Yoko Plebani,Italy,FINISH,3.0,00:00:00,00:00:00,00:42:30,00:02:57,00:31:06,01:33:05,PTS2 Women,,2021 World Triathlon Para Cup Besancon,2021-06-13,World Para Cup,,,,,,2550.0,177.0,1866.0,5585.0,,,,False,,5585.0,,,,,Unknown,,,,,,1:33:05,2021 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
154586,453960,114644,Veronica Yoko Plebani,Italy,FINISH,1.0,00:14:54,00:01:50,00:41:07,00:03:27,00:26:37,01:27:57,PTS2 Women,,2021 World Triathlon Para Cup A Coruna,2021-06-20,World Para Cup,,,,894.0,110.0,2467.0,207.0,1597.0,5277.0,,,,False,894.0,5277.0,5275.0,5275.0,894.0,2.0,Unknown,,,,,,1:27:57,2021 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
131301,508225,60938,Allysa Seely,United States,FINISH,1.0,00:12:47,00:01:36,00:36:29,00:01:19,00:21:52,01:14:03,PTS2 Women,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,767.0,96.0,2189.0,79.0,1312.0,4443.0,,,,False,767.0,4443.0,4443.0,4443.0,767.0,0.0,Unknown,,,,,,1:14:03,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
131301,508225,60937,Hailey Danz,United States,FINISH,2.0,00:12:32,00:01:55,00:35:06,00:01:12,00:24:13,01:14:58,PTS2 Women,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,752.0,115.0,2106.0,72.0,1453.0,4498.0,,,,False,752.0,4498.0,4498.0,4498.0,752.0,0.0,Unknown,,,,,,1:14:58,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
131301,508225,114644,Veronica Yoko Plebani,Italy,FINISH,3.0,00:12:29,00:01:46,00:36:37,00:01:07,00:23:56,01:15:55,PTS2 Women,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,749.0,106.0,2197.0,67.0,1436.0,4555.0,,,,False,749.0,4555.0,4555.0,4555.0,749.0,0.0,Unknown,,,,,,1:15:55,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
162511,526349,60937,Hailey Danz,United States,FINISH,1.0,00:12:49,00:02:38,00:35:04,00:01:50,00:25:02,01:17:21,PTS2 Women,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,769.0,158.0,2104.0,110.0,1502.0,4641.0,,,,False,769.0,4641.0,4643.0,4643.0,769.0,-2.0,Unknown,,,,,,1:17:21,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
162511,526349,114644,Veronica Yoko Plebani,Italy,DNF,,00:13:54,00:02:17,00:38:45,00:01:51,00:00:00,DNF,PTS2 Women,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,,,,,,,,,,False,,,,,,,Unknown,,,,,,,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
166221,553017,114644,Veronica Yoko Plebani,Italy,FINISH,3.0,00:14:00,00:01:16,00:45:58,00:01:13,00:25:44,01:28:09,PTS2 Women,Sprint,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,840.0,76.0,2758.0,73.0,1544.0,5289.0,,,,False,840.0,5289.0,5291.0,5291.0,840.0,-2.0,Sprint,112.0,122.57777777777778,308.8,29.369108049311098,18.249112037708485,1:28:09,2022 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
