event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,runtime_sec_outlier,run_pace_s_per_km_outlier,t1time_sec_outlier,biketime_sec_outlier,t2time_sec_outlier,bike_speed_kmh_outlier,swim_pace_s_per_100m_outlier,swimtime_sec_outlier,bike_pace_s_per_km_outlier
152696,452700,106183,Alexis Hanquinquant,France,FINISH,1.0,00:09:46,00:01:31,00:29:36,00:00:37,00:16:25,00:57:55,PTS4 Men,,2021 World Triathlon Para Series Yokohama,2021-05-15,World Para Series,,,,586.0,91.0,1776.0,37.0,985.0,3475.0,,,,False,586.0,3475.0,3475.0,3475.0,586.0,0.0,Unknown,,,,,,57:55,2021 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
152698,452757,106183,Alexis Hanquinquant,France,FINISH,1.0,00:09:39,00:02:11,00:32:20,00:00:35,00:15:42,01:00:26,PTS4 Men,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,579.0,131.0,1940.0,35.0,942.0,3626.0,,,,False,579.0,3626.0,3627.0,3627.0,579.0,-1.0,Unknown,,,,,,1:00:26,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
154584,453933,106183,Alexis Hanquinquant,France,FINISH,1.0,00:09:53,00:01:13,00:33:38,00:01:16,00:17:21,01:03:22,PTS4 Men,,2021 World Triathlon Para Cup Besancon,2021-06-13,World Para Cup,,,,593.0,73.0,2018.0,76.0,1041.0,3802.0,,,,False,593.0,3802.0,3801.0,3801.0,593.0,1.0,Unknown,,,,,,1:03:22,2021 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
131301,508221,106183,Alexis Hanquinquant,France,FINISH,1.0,00:09:42,00:01:06,00:30:23,00:00:43,00:18:04,00:59:58,PTS4 Men,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,582.0,66.0,1823.0,43.0,1084.0,3598.0,,,,False,582.0,3598.0,3598.0,3598.0,582.0,0.0,Unknown,,,,,,59:58,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
162511,526352,106183,Alexis Hanquinquant,France,FINISH,1.0,00:09:52,00:01:28,00:28:58,00:00:55,00:17:43,00:58:54,PTS4 Men,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,592.0,88.0,1738.0,55.0,1063.0,3534.0,,,,False,592.0,3534.0,3536.0,3536.0,592.0,-2.0,Unknown,,,,,,58:54,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
163470,544232,113764,Pierre-Antoine Baele,France,FINISH,2.0,00:11:04,00:01:41,00:29:45,00:00:36,00:17:43,01:00:49,PTS4 Men,sprint,2022 World Triathlon Para Series Yokohama,2022-05-14,World Para Series,750.0,20000.0,5000.0,664.0,101.0,1785.0,36.0,1063.0,3649.0,,,,False,664.0,3649.0,3649.0,3649.0,664.0,0.0,Sprint,88.53333333333333,89.25,212.6,40.33613445378151,25.06370420168067,1:00:49,2022 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
163470,544232,106183,Alexis Hanquinquant,France,FINISH,1.0,00:09:41,00:01:39,00:29:22,00:00:48,00:17:32,00:59:02,PTS4 Men,sprint,2022 World Triathlon Para Series Yokohama,2022-05-14,World Para Series,750.0,20000.0,5000.0,581.0,99.0,1762.0,48.0,1052.0,3542.0,,,,False,581.0,3542.0,3542.0,3542.0,581.0,0.0,Sprint,77.46666666666667,88.1,210.4,40.86265607264472,25.390869466515323,59:02,2022 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
163473,545483,113764,Pierre-Antoine Baele,France,FINISH,2.0,00:10:49,00:01:43,00:34:28,00:01:10,00:18:57,01:07:08,PTS4 Men,sprint,2022 World Triathlon Para Cup Besancon,2022-06-11,World Para Cup,,,,649.0,103.0,2068.0,70.0,1137.0,4028.0,,,,False,649.0,4028.0,4027.0,4027.0,649.0,1.0,Sprint,,,,,,1:07:08,2022 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
163473,545483,106183,Alexis Hanquinquant,France,FINISH,1.0,00:09:57,00:01:17,00:33:12,00:01:13,00:17:14,01:02:56,PTS4 Men,sprint,2022 World Triathlon Para Cup Besancon,2022-06-11,World Para Cup,,,,597.0,77.0,1992.0,73.0,1034.0,3776.0,,,,False,597.0,3776.0,3773.0,3773.0,597.0,3.0,Sprint,,,,,,1:02:56,2022 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
163473,545483,165771,Carson Clough,United States,FINISH,8.0,00:11:19,00:02:49,00:39:22,00:02:15,00:21:31,01:17:17,PTS4 Men,sprint,2022 World Triathlon Para Cup Besancon,2022-06-11,World Para Cup,,,,679.0,169.0,2362.0,135.0,1291.0,4637.0,,,,False,679.0,4637.0,4636.0,4636.0,679.0,1.0,Sprint,,,,,,1:17:17,2022 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
