event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,bike_pace_s_per_km_outlier,t2time_sec_outlier,runtime_sec_outlier,biketime_sec_outlier,bike_speed_kmh_outlier,run_pace_s_per_km_outlier,t1time_sec_outlier,swim_pace_s_per_100m_outlier,swimtime_sec_outlier
152696,452696,106588,Maurits Morsink,Netherlands,FINISH,2.0,00:18:05,00:01:59,00:30:58,00:01:10,00:17:56,01:10:08,PTS2 Men,,2021 World Triathlon Para Series Yokohama,2021-05-15,World Para Series,,,,1085.0,119.0,1858.0,70.0,1076.0,4208.0,,,,False,1085.0,4208.0,4208.0,4208.0,1085.0,0.0,Unknown,,,,,,1:10:08,2021 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
152696,452696,91519,Lionel Morales,Spain,FINISH,1.0,00:11:16,00:02:16,00:33:15,00:01:28,00:20:12,01:08:27,PTS2 Men,,2021 World Triathlon Para Series Yokohama,2021-05-15,World Para Series,,,,676.0,136.0,1995.0,88.0,1212.0,4107.0,,,,False,676.0,4107.0,4107.0,4107.0,676.0,0.0,Unknown,,,,,,1:08:27,2021 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
152698,452753,122421,Jules Ribstein,France,FINISH,1.0,00:10:58,00:02:50,00:15:52,00:22:35,00:19:32,01:11:44,PTS2 Men,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,658.0,170.0,952.0,,1172.0,4304.0,,,,False,658.0,4304.0,4307.0,4307.0,658.0,-3.0,Unknown,,,,,,1:11:44,AJ Bell 2021 World Triathlon Para Series Leeds,False,True,False,False,False,False,False,False,False
152698,452753,106588,Maurits Morsink,Netherlands,FINISH,2.0,00:17:25,00:02:51,00:34:44,00:01:04,00:17:18,01:13:20,PTS2 Men,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,1045.0,171.0,2084.0,64.0,1038.0,4400.0,,,,False,1045.0,4400.0,4402.0,4402.0,1045.0,-2.0,Unknown,,,,,,1:13:20,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
154584,453929,106588,Maurits Morsink,Netherlands,FINISH,2.0,00:16:31,00:02:02,00:35:46,00:01:27,00:20:12,01:15:59,PTS2 Men,,2021 World Triathlon Para Cup Besancon,2021-06-13,World Para Cup,,,,991.0,122.0,2146.0,87.0,1212.0,4559.0,,,,False,991.0,4559.0,4558.0,4558.0,991.0,1.0,Unknown,,,,,,1:15:59,2021 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
154584,453929,122421,Jules Ribstein,France,FINISH,1.0,00:10:44,00:01:42,00:37:17,00:01:49,00:21:33,01:13:07,PTS2 Men,,2021 World Triathlon Para Cup Besancon,2021-06-13,World Para Cup,,,,644.0,102.0,2237.0,109.0,1293.0,4387.0,,,,False,644.0,4387.0,4385.0,4385.0,644.0,2.0,Unknown,,,,,,1:13:07,2021 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
154586,453959,91519,Lionel Morales,Spain,FINISH,2.0,00:11:22,00:01:48,00:38:04,00:02:50,00:21:06,01:15:12,PTS2 Men,,2021 World Triathlon Para Cup A Coruna,2021-06-20,World Para Cup,,,,682.0,108.0,2284.0,170.0,1266.0,4512.0,,,,False,682.0,4512.0,4510.0,4510.0,682.0,2.0,Unknown,,,,,,1:15:12,2021 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
155520,500561,122421,Jules Ribstein,France,FINISH,1.0,00:12:25,00:01:40,00:32:40,00:01:09,00:20:41,01:08:35,PTS2 Men,,2021 World Triathlon Para Cup Alhandra,2021-10-30,World Para Cup,,,,745.0,100.0,1960.0,69.0,1241.0,4115.0,,,,False,745.0,4115.0,4115.0,4115.0,745.0,0.0,Unknown,,,,,,1:08:35,2021 World Triathlon Para Cup Alhandra,False,False,False,False,False,False,False,False,False
162511,526348,106588,Maurits Morsink,Netherlands,FINISH,5.0,00:19:22,00:01:32,00:30:41,00:01:08,00:20:42,01:13:24,PTS2 Men,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,1162.0,92.0,1841.0,68.0,1242.0,4404.0,,,,False,1162.0,4404.0,4405.0,4405.0,1162.0,-1.0,Unknown,,,,,,1:13:24,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
162511,526348,91519,Lionel Morales,Spain,FINISH,2.0,00:11:27,00:02:24,00:32:48,00:01:29,00:21:13,01:09:19,PTS2 Men,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,687.0,144.0,1968.0,89.0,1273.0,4159.0,,,,False,687.0,4159.0,4161.0,4161.0,687.0,-2.0,Unknown,,,,,,1:09:19,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
