event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,runtime_sec_outlier,bike_pace_s_per_km_outlier,bike_speed_kmh_outlier,biketime_sec_outlier,run_pace_s_per_km_outlier,t1time_sec_outlier,swim_pace_s_per_100m_outlier,swimtime_sec_outlier,t2time_sec_outlier
162511,526351,72662,Elise Marc,France,FINISH,2,00:16:17,00:03:17,00:33:51,00:02:09,00:23:58,01:19:31,PTS3 Women,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,977.0,197.0,2031.0,129.0,1438.0,4771.0,,,,False,977.0,4771.0,4772.0,4772.0,977.0,-1.0,Unknown,,,,,,1:19:31,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
163473,545482,163493,Sanne Koopman,Netherlands,FINISH,1,00:17:18,00:02:31,00:46:17,00:02:05,00:31:29,01:39:42,PTS3 Women,sprint,2022 World Triathlon Para Cup Besancon,2022-06-11,World Para Cup,,,,1038.0,151.0,2777.0,125.0,1889.0,5982.0,,,,False,1038.0,5982.0,5980.0,5980.0,1038.0,2.0,Sprint,,,,,,1:39:42,2022 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
164701,550725,72662,Elise Marc,France,FINISH,1,00:16:34,00:01:00,00:39:14,00:00:58,00:24:14,01:21:59,PTS3 Women,sprint,2022 World Triathlon Para Cup Alanya,2022-10-15,World Para Cup,,,,994.0,60.0,2354.0,58.0,1454.0,4919.0,,,,False,994.0,4919.0,4920.0,4920.0,994.0,-1.0,Sprint,,,,,,1:21:59,2022 World Triathlon Para Cup Alanya,False,False,False,False,False,False,False,False,False
184628,560534,163493,Sanne Koopman,Netherlands,FINISH,2,00:17:41,00:02:02,00:40:49,00:01:25,00:30:21,01:32:16,PTS3 Women,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,1061.0,122.0,2449.0,85.0,1821.0,5536.0,,,,False,1061.0,5536.0,5538.0,5538.0,1061.0,-2.0,Sprint,141.46666666666667,122.43775622437757,364.2,29.402694977541852,18.269981980890158,1:32:16,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
184628,560534,72662,Elise Marc,France,FINISH,1,00:15:06,00:02:28,00:37:55,00:00:49,00:23:57,01:20:13,PTS3 Women,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,906.0,148.0,2275.0,49.0,1437.0,4813.0,,,,False,906.0,4813.0,4815.0,4815.0,906.0,-2.0,Sprint,120.8,113.73862613738626,287.4,31.651516483516485,19.66733444887912,1:20:13,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
171981,576240,163493,Sanne Koopman,Netherlands,FINISH,2,00:16:22,00:01:44,00:48:20,00:02:24,00:30:04,01:38:56,PTS3 Women,sprint,2023 World Triathlon Para Cup Besancon,2023-06-17,World Para Cup,750.0,20000.0,5000.0,982.0,104.0,2900.0,144.0,1804.0,5936.0,,,,False,982.0,5936.0,5934.0,5934.0,982.0,2.0,Sprint,130.93333333333334,145.0,360.8,24.82758620689655,15.427142068965518,1:38:56,2023 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
174960,589247,175625,Kenia Yesenia Villalobos Vargas,Mexico,FINISH,1,00:14:32,00:00:47,00:41:50,00:00:56,00:29:56,01:28:01,PTS3 Women,sprint,2023 World Triathlon Para Series Montreal,2023-07-08,World Para Series,773.0,20200.0,5000.0,872.0,47.0,2510.0,56.0,1796.0,5281.0,,,,False,872.0,5281.0,5281.0,5281.0,872.0,0.0,Sprint,112.80724450194049,124.25742574257426,359.2,28.97211155378486,18.00242992828685,1:28:01,2023 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
173647,582581,175625,Kenia Yesenia Villalobos Vargas,Mexico,FINISH,1,00:13:05,00:02:38,00:41:57,00:00:56,00:28:12,01:26:45,PTS3 Women,sprint,2023 World Triathlon Para Cup Long Beach,2023-07-14,World Para Cup,750.0,20000.0,5000.0,785.0,158.0,2517.0,56.0,1692.0,5205.0,,,,False,785.0,5205.0,5208.0,5208.0,785.0,-3.0,Sprint,104.66666666666667,125.85,338.4,28.605482717520857,17.774617401668653,1:26:45,2023 World Triathlon Para Cup Long Beach,False,False,False,False,False,False,False,False,False
171976,582600,72662,Elise Marc,France,FINISH,1,00:15:03,00:00:00,n/a,n/a,00:20:24,00:35:27,PTS3 Women,sprint,2023 World Triathlon Para Series Swansea,2023-07-15,World Para Series,750.0,,5000.0,903.0,,,,1224.0,2127.0,,,,False,903.0,2127.0,,,903.0,,Sprint,120.4,,244.8,,,35:27,2023 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
171976,582600,163493,Sanne Koopman,Netherlands,FINISH,2,00:15:49,00:02:01,n/a,n/a,00:27:45,00:45:34,PTS3 Women,sprint,2023 World Triathlon Para Series Swansea,2023-07-15,World Para Series,750.0,,5000.0,949.0,121.0,,,1665.0,2734.0,,,,False,949.0,2734.0,,,949.0,,Sprint,126.53333333333333,,333.0,,,45:34,2023 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
172816,604876,72662,Elise Marc,France,FINISH,1,00:09:34,00:00:42,00:35:07,00:00:39,00:21:43,01:07:45,PTS3 Women,sprint,2023 World Triathlon Para Cup Paris,2023-08-19,World Para Cup,,18500.0,,574.0,42.0,2107.0,39.0,1303.0,4065.0,,,,False,574.0,4065.0,4065.0,4065.0,574.0,0.0,Sprint,,113.89189189189189,,31.60892263882297,19.64086786900807,1:07:45,2023 World Triathlon Para Cup Paris,False,False,False,False,False,False,False,False,False
172816,604876,163493,Sanne Koopman,Netherlands,FINISH,2,00:12:51,00:00:47,00:40:50,00:00:53,00:28:14,01:23:35,PTS3 Women,sprint,2023 World Triathlon Para Cup Paris,2023-08-19,World Para Cup,,18500.0,,771.0,47.0,2450.0,53.0,1694.0,5015.0,,,,False,771.0,5015.0,5015.0,5015.0,771.0,0.0,Sprint,,132.43243243243242,,27.183673469387752,16.891146367346938,1:23:35,2023 World Triathlon Para Cup Paris,False,False,False,False,False,False,False,False,False
173746,582724,175625,Kenia Yesenia Villalobos Vargas,Mexico,FINISH,2,00:12:25,00:01:29,00:42:47,00:01:46,00:26:36,01:25:01,PTS3 Women,sprint,2023 World Triathlon Para Championships Pontevedra,2023-09-22,World Championships,750.0,19600.0,5000.0,745.0,89.0,2567.0,106.0,1596.0,5101.0,,,,False,745.0,5101.0,5103.0,5103.0,745.0,-2.0,Sprint,99.33333333333333,130.96938775510202,319.2,27.487339306583564,17.079835512271135,1:25:01,2023 World Triathlon Para Championships Pontevedra,False,False,False,False,False,False,False,False,False
173746,582724,163493,Sanne Koopman,Netherlands,FINISH,3,00:15:19,00:01:17,00:42:38,00:01:20,00:26:56,01:27:28,PTS3 Women,sprint,2023 World Triathlon Para Championships Pontevedra,2023-09-22,World Championships,750.0,19600.0,5000.0,919.0,77.0,2558.0,80.0,1616.0,5248.0,,,,False,919.0,5248.0,5250.0,5250.0,919.0,-2.0,Sprint,122.53333333333333,130.51020408163265,323.2,27.584050039093043,17.139928756841282,1:27:28,2023 World Triathlon Para Championships Pontevedra,False,False,False,False,False,False,False,False,False
173746,582724,72662,Elise Marc,France,FINISH,1,00:12:51,00:02:08,00:37:19,00:01:29,00:19:58,01:13:43,PTS3 Women,sprint,2023 World Triathlon Para Championships Pontevedra,2023-09-22,World Championships,750.0,19600.0,5000.0,771.0,128.0,2239.0,89.0,1198.0,4423.0,,,,False,771.0,4423.0,4425.0,4425.0,771.0,-2.0,Sprint,102.8,114.23469387755101,239.6,31.514068780705678,19.581928432335868,1:13:43,2023 World Triathlon Para Championships Pontevedra,False,False,False,False,False,False,False,False,False
183781,630329,184045,Rachel Watts,United States,FINISH,2,00:17:07,00:02:16,00:41:24,00:01:41,00:30:23,01:32:51,PTS3 Women,sprint,2024 World Triathlon Para Series Yokohama,2024-05-11,World Para Series,,20000.0,4980.0,1027.0,136.0,2484.0,101.0,1823.0,5571.0,,,,False,1027.0,5571.0,5571.0,5571.0,1027.0,0.0,Sprint,,124.2,366.0642570281124,28.985507246376812,18.010753623188407,1:32:51,2024 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
185649,632008,184045,Rachel Watts,United States,FINISH,1,00:19:21,00:01:00,00:47:08,00:01:49,00:32:23,01:41:43,PTS3 Women,sprint,2024 World Triathlon Para Cup Taranto,2024-06-08,World Para Cup,750.0,21000.0,5000.0,1161.0,60.0,2828.0,109.0,1943.0,6103.0,,,,False,1161.0,6103.0,6101.0,6101.0,1161.0,2.0,Sprint,154.8,134.66666666666666,388.6,26.73267326732673,16.61090792079208,1:41:43,2024 World Triathlon Para Cup Taranto,False,False,False,False,False,False,False,False,False
183783,634044,184045,Rachel Watts,United States,FINISH,3,00:18:01,00:02:16,00:48:16,00:02:00,00:30:45,01:41:20,PTS3 Women,sprint,2024 World Triathlon Para Cup Besancon,2024-06-15,World Para Cup,750.0,21340.0,5000.0,1081.0,136.0,2896.0,120.0,1845.0,6080.0,,,,False,1081.0,6080.0,6078.0,6078.0,1081.0,2.0,Sprint,144.13333333333333,135.70759137769448,369.0,26.527624309392266,16.48349644475138,1:41:20,2024 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
183783,634044,163493,Sanne Koopman,Netherlands,FINISH,2,00:15:36,00:01:49,00:50:37,00:01:18,00:29:14,01:38:36,PTS3 Women,sprint,2024 World Triathlon Para Cup Besancon,2024-06-15,World Para Cup,750.0,21340.0,5000.0,936.0,109.0,3037.0,78.0,1754.0,5916.0,,,,False,936.0,5916.0,5914.0,5914.0,936.0,2.0,Sprint,124.8,142.3149015932521,350.8,25.296015805070795,15.718210636812644,1:38:36,2024 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
183783,634044,72662,Elise Marc,France,FINISH,1,00:00:00,00:00:00,00:41:32,00:01:02,00:21:23,01:19:36,PTS3 Women,sprint,2024 World Triathlon Para Cup Besancon,2024-06-15,World Para Cup,750.0,21340.0,5000.0,,,2492.0,62.0,1283.0,4776.0,,,,False,,4776.0,,,,,Sprint,,116.77600749765698,256.6,30.828250401284112,19.15578078009631,1:19:36,2024 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
