event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,run_pace_s_per_km_outlier,swimtime_sec_outlier,swim_pace_s_per_100m_outlier,bike_pace_s_per_km_outlier,biketime_sec_outlier,runtime_sec_outlier,bike_speed_kmh_outlier,t2time_sec_outlier,t1time_sec_outlier
152696,452701,127490,Kelly Elmlinger,United States,FINISH,1.0,00:14:45,00:02:06,00:34:36,00:01:01,00:19:43,01:12:11,PTS4 Women,,2021 World Triathlon Para Series Yokohama,2021-05-15,World Para Series,,,,885.0,126.0,2076.0,61.0,1183.0,4331.0,,,,False,885.0,4331.0,4331.0,4331.0,885.0,0.0,Unknown,,,,,,1:12:11,2021 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
152698,452758,127490,Kelly Elmlinger,United States,FINISH,1.0,00:13:19,00:03:03,00:40:15,00:00:54,00:20:07,01:17:37,PTS4 Women,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,799.0,183.0,2415.0,54.0,1207.0,4657.0,,,,False,799.0,4657.0,4658.0,4658.0,799.0,-1.0,Unknown,,,,,,1:17:37,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
154584,453934,139669,Marta Francés Gómez,Spain,FINISH,1.0,00:12:42,00:01:38,00:42:08,00:01:46,00:25:18,01:23:34,PTS4 Women,,2021 World Triathlon Para Cup Besancon,2021-06-13,World Para Cup,,,,762.0,98.0,2528.0,106.0,1518.0,5014.0,,,,False,762.0,5014.0,5012.0,5012.0,762.0,2.0,Unknown,,,,,,1:23:34,2021 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
154586,453964,139669,Marta Francés Gómez,Spain,FINISH,1.0,00:13:38,00:01:46,00:39:07,00:02:08,00:24:00,01:20:40,PTS4 Women,,2021 World Triathlon Para Cup A Coruna,2021-06-20,World Para Cup,,,,818.0,106.0,2347.0,128.0,1440.0,4840.0,,,,False,818.0,4840.0,4839.0,4839.0,818.0,1.0,Unknown,,,,,,1:20:40,2021 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
162511,526353,139669,Marta Francés Gómez,Spain,FINISH,2.0,00:13:16,00:01:40,00:35:34,00:01:26,00:23:37,01:15:31,PTS4 Women,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,796.0,100.0,2134.0,86.0,1417.0,4531.0,,,,False,796.0,4531.0,4533.0,4533.0,796.0,-2.0,Unknown,,,,,,1:15:31,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
162511,526353,127490,Kelly Elmlinger,United States,FINISH,1.0,00:13:55,00:01:55,00:34:42,00:01:25,00:20:58,01:12:53,PTS4 Women,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,835.0,115.0,2082.0,85.0,1258.0,4373.0,,,,False,835.0,4373.0,4375.0,4375.0,835.0,-2.0,Unknown,,,,,,1:12:53,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
163473,545484,139669,Marta Francés Gómez,Spain,FINISH,1.0,00:13:06,00:01:28,00:40:36,00:01:42,00:23:53,01:20:46,PTS4 Women,sprint,2022 World Triathlon Para Cup Besancon,2022-06-11,World Para Cup,,,,786.0,88.0,2436.0,102.0,1433.0,4846.0,,,,False,786.0,4846.0,4845.0,4845.0,786.0,1.0,Sprint,,,,,,1:20:46,2022 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
163485,545440,139669,Marta Francés Gómez,Spain,DSQ,,00:14:22,00:01:28,00:37:04,00:01:14,00:16:24,DSQ,PTS4 Women,sprint,2022 World Triathlon Para Cup A Coruna,2022-06-19,World Para Cup,750.0,20800.0,5050.0,,,,,,,,,,False,,,,,,,Sprint,,,,,,,2022 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
166221,553019,139669,Marta Francés Gómez,Spain,FINISH,2.0,00:12:43,00:00:52,00:37:59,00:00:56,00:22:41,01:15:08,PTS4 Women,,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,763.0,52.0,2279.0,56.0,1361.0,4508.0,,,,False,763.0,4508.0,4511.0,4511.0,763.0,-3.0,Sprint,101.73333333333333,101.28888888888889,272.2,35.541904344010526,22.084708644142165,1:15:08,2022 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
166221,553019,127490,Kelly Elmlinger,United States,FINISH,1.0,00:12:50,00:01:30,00:37:21,00:01:10,00:20:35,01:13:24,PTS4 Women,,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,770.0,90.0,2241.0,70.0,1235.0,4404.0,,,,False,770.0,4404.0,4406.0,4406.0,770.0,-2.0,Sprint,102.66666666666667,99.6,247.0,36.14457831325301,22.459192771084336,1:13:24,2022 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
