event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,biketime_sec_outlier,t2time_sec_outlier,bike_pace_s_per_km_outlier,swim_pace_s_per_100m_outlier,bike_speed_kmh_outlier,swimtime_sec_outlier,run_pace_s_per_km_outlier,t1time_sec_outlier,runtime_sec_outlier
152698,452760,115542,Claire Cashmore,Great Britain,FINISH,2.0,00:10:57,00:01:52,00:35:24,00:00:42,00:18:01,01:06:54,PTS5 Women,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,657.0,112.0,2124.0,42.0,1081.0,4014.0,,,,False,657.0,4014.0,4016.0,4016.0,657.0,-2.0,Unknown,,,,,,1:06:54,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
152698,452760,47881,Lauren Steadman,Great Britain,FINISH,1.0,00:11:00,00:01:49,00:33:56,00:00:39,00:18:41,01:06:04,PTS5 Women,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,660.0,109.0,2036.0,39.0,1121.0,3964.0,,,,False,660.0,3964.0,3965.0,3965.0,660.0,-1.0,Unknown,,,,,,1:06:04,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
152698,452760,85170,Grace Norman,United States,FINISH,3.0,00:11:06,00:02:12,00:35:03,00:00:48,00:17:52,01:06:58,PTS5 Women,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,666.0,132.0,2103.0,48.0,1072.0,4018.0,,,,False,666.0,4018.0,4021.0,4021.0,666.0,-3.0,Unknown,,,,,,1:06:58,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
154584,453936,115542,Claire Cashmore,Great Britain,FINISH,1.0,00:11:19,00:01:15,00:37:07,00:01:37,00:20:36,01:11:56,PTS5 Women,,2021 World Triathlon Para Cup Besancon,2021-06-13,World Para Cup,,,,679.0,75.0,2227.0,97.0,1236.0,4316.0,,,,False,679.0,4316.0,4314.0,4314.0,679.0,2.0,Unknown,,,,,,1:11:56,2021 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
154586,453966,47881,Lauren Steadman,Great Britain,FINISH,1.0,00:11:32,00:01:02,00:33:46,00:01:28,00:19:35,01:07:25,PTS5 Women,,2021 World Triathlon Para Cup A Coruna,2021-06-20,World Para Cup,,,,692.0,62.0,2026.0,88.0,1175.0,4045.0,,,,False,692.0,4045.0,4043.0,4043.0,692.0,2.0,Unknown,,,,,,1:07:25,2021 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
154586,453966,111973,Kamylle Frenette,Canada,FINISH,3.0,00:12:38,00:01:12,00:37:36,00:01:43,00:19:56,01:13:07,PTS5 Women,,2021 World Triathlon Para Cup A Coruna,2021-06-20,World Para Cup,,,,758.0,72.0,2256.0,103.0,1196.0,4387.0,,,,False,758.0,4387.0,4385.0,4385.0,758.0,2.0,Unknown,,,,,,1:13:07,2021 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
154586,453966,115542,Claire Cashmore,Great Britain,FINISH,2.0,00:11:33,00:01:00,00:34:51,00:01:31,00:18:41,01:07:37,PTS5 Women,,2021 World Triathlon Para Cup A Coruna,2021-06-20,World Para Cup,,,,693.0,60.0,2091.0,91.0,1121.0,4057.0,,,,False,693.0,4057.0,4056.0,4056.0,693.0,1.0,Unknown,,,,,,1:07:37,2021 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
131301,508227,115542,Claire Cashmore,Great Britain,FINISH,3.0,00:11:53,00:01:04,00:34:08,00:00:49,00:19:42,01:07:36,PTS5 Women,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,713.0,64.0,2048.0,49.0,1182.0,4056.0,,,,False,713.0,4056.0,4056.0,4056.0,713.0,0.0,Unknown,,,,,,1:07:36,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
131301,508227,111973,Kamylle Frenette,Canada,FINISH,4.0,00:11:54,00:01:05,00:34:58,00:00:46,00:21:26,01:10:09,PTS5 Women,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,714.0,65.0,2098.0,46.0,1286.0,4209.0,,,,False,714.0,4209.0,4209.0,4209.0,714.0,0.0,Unknown,,,,,,1:10:09,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
131301,508227,47881,Lauren Steadman,Great Britain,FINISH,1.0,00:11:55,00:01:01,00:31:45,00:01:00,00:19:05,01:04:46,PTS5 Women,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,715.0,61.0,1905.0,60.0,1145.0,3886.0,,,,False,715.0,3886.0,3886.0,3886.0,715.0,0.0,Unknown,,,,,,1:04:46,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
