event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,swimtime_sec_outlier,biketime_sec_outlier,run_pace_s_per_km_outlier,t1time_sec_outlier,bike_pace_s_per_km_outlier,runtime_sec_outlier,bike_speed_kmh_outlier,swim_pace_s_per_100m_outlier,t2time_sec_outlier
152696,452704,113760,Antoine Perel B1,France,FINISH,6.0,00:12:22,00:01:22,00:29:21,00:00:52,00:17:18,01:01:15,PTVI Men,,2021 World Triathlon Para Series Yokohama,2021-05-15,World Para Series,,,,742.0,82.0,1761.0,52.0,1038.0,3675.0,B1,,,False,742.0,3675.0,3675.0,3675.0,742.0,0.0,Unknown,,,,,,1:01:15,2021 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
152696,452704,136177,Thibaut Rigaudeau B3,France,FINISH,3.0,00:11:11,00:01:02,00:27:12,00:00:45,00:17:03,01:00:34,PTVI Men,,2021 World Triathlon Para Series Yokohama,2021-05-15,World Para Series,,,,671.0,62.0,1632.0,45.0,1023.0,3634.0,B3,,,False,671.0,3634.0,3433.0,3433.0,671.0,201.0,Unknown,,,,,,1:00:34,2021 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
152698,452761,136177,Thibaut Rigaudeau B3,France,FINISH,3.0,00:10:48,00:01:54,00:30:17,00:00:44,00:16:17,01:03:18,PTVI Men,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,648.0,114.0,1817.0,44.0,977.0,3798.0,B3,,,False,648.0,3798.0,3600.0,3600.0,648.0,198.0,Unknown,,,,,,1:03:18,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
152698,452761,79400,Dave Ellis B3,Great Britain,FINISH,1.0,00:09:58,00:01:50,00:30:19,00:00:41,00:15:24,01:01:31,PTVI Men,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,598.0,110.0,1819.0,41.0,924.0,3691.0,B3,,,False,598.0,3691.0,3492.0,3492.0,598.0,199.0,Unknown,,,,,,1:01:31,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
152698,452761,89631,Héctor Catalá Laparra B2,Spain,FINISH,2.0,00:10:46,00:01:47,00:30:29,00:00:43,00:16:00,01:03:04,PTVI Men,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,646.0,107.0,1829.0,43.0,960.0,3784.0,B2,,,False,646.0,3784.0,3585.0,3585.0,646.0,199.0,Unknown,,,,,,1:03:04,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
152698,452761,113760,Antoine Perel B1,France,FINISH,6.0,00:12:08,00:02:15,00:32:10,00:00:45,00:17:11,01:04:26,PTVI Men,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,728.0,135.0,1930.0,45.0,1031.0,3866.0,B1,,,False,728.0,3866.0,3869.0,3869.0,728.0,-3.0,Unknown,,,,,,1:04:26,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
154584,453937,89631,Héctor Catalá Laparra B2,Spain,FINISH,1.0,00:10:20,00:01:12,00:29:50,00:01:13,00:17:50,01:03:48,PTVI Men,,2021 World Triathlon Para Cup Besancon,2021-06-13,World Para Cup,,,,620.0,72.0,1790.0,73.0,1070.0,3828.0,B2,,,False,620.0,3828.0,3625.0,3625.0,620.0,203.0,Unknown,,,,,,1:03:48,2021 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
154584,453937,113760,Antoine Perel B1,France,FINISH,3.0,00:11:52,00:01:23,00:31:30,00:01:16,00:19:05,01:05:08,PTVI Men,,2021 World Triathlon Para Cup Besancon,2021-06-13,World Para Cup,,,,712.0,83.0,1890.0,76.0,1145.0,3908.0,B1,,,False,712.0,3908.0,3906.0,3906.0,712.0,2.0,Unknown,,,,,,1:05:08,2021 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
154584,453937,136177,Thibaut Rigaudeau B3,France,FINISH,2.0,00:10:18,00:01:17,00:29:50,00:01:13,00:18:19,01:04:20,PTVI Men,,2021 World Triathlon Para Cup Besancon,2021-06-13,World Para Cup,,,,618.0,77.0,1790.0,73.0,1099.0,3860.0,B3,,,False,618.0,3860.0,3657.0,3657.0,618.0,203.0,Unknown,,,,,,1:04:20,2021 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
131301,508223,113760,Antoine Perel B1,France,FINISH,6.0,00:12:23,00:01:14,00:30:07,00:00:50,00:19:15,01:03:49,PTVI Men,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,743.0,74.0,1807.0,50.0,1155.0,3829.0,B1,,,False,743.0,3829.0,3829.0,3829.0,743.0,0.0,Unknown,,,,,,1:03:49,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
131301,508223,136177,Thibaut Rigaudeau B3,France,FINISH,4.0,00:10:39,00:00:54,00:28:18,00:00:46,00:18:50,01:02:48,PTVI Men,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,639.0,54.0,1698.0,46.0,1130.0,3768.0,B3,,,False,639.0,3768.0,3567.0,3567.0,639.0,201.0,Unknown,,,,,,1:02:48,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
131301,508223,79400,Dave Ellis B3,Great Britain,DNF,,00:09:50,00:01:00,00:00:00,00:00:00,00:00:00,DNF,PTVI Men,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,,,,,,,B3,,,False,,,,,,,Unknown,,,,,,,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
131301,508223,89631,Héctor Catalá Laparra B2,Spain,FINISH,2.0,00:10:44,00:00:54,00:28:45,00:00:42,00:17:45,01:02:11,PTVI Men,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,644.0,54.0,1725.0,42.0,1065.0,3731.0,B2,,,False,644.0,3731.0,3530.0,3530.0,644.0,201.0,Unknown,,,,,,1:02:11,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
