event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,run_pace_s_per_km_outlier,swim_pace_s_per_100m_outlier,runtime_sec_outlier,bike_speed_kmh_outlier,swimtime_sec_outlier,bike_pace_s_per_km_outlier,t1time_sec_outlier,t2time_sec_outlier,biketime_sec_outlier
152698,452762,83022,Alison Peasgood B2,Great Britain,FINISH,3.0,00:13:24,00:02:34,00:33:44,00:00:45,00:19:16,01:13:28,PTVI Women,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,804.0,154.0,2024.0,45.0,1156.0,4408.0,B2,,,False,804.0,4408.0,4183.0,4183.0,804.0,225.0,Unknown,,,,,,1:13:28,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
152698,452762,40701,Susana Rodriguez B1,Spain,FINISH,1.0,00:13:30,00:02:17,00:34:30,00:00:49,00:18:59,01:10:02,PTVI Women,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,810.0,137.0,2070.0,49.0,1139.0,4202.0,B1,,,False,810.0,4202.0,4205.0,4205.0,810.0,-3.0,Unknown,,,,,,1:10:02,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
154584,453938,83022,Alison Peasgood B2,Great Britain,FINISH,1.0,00:11:22,00:01:34,00:34:25,00:01:31,00:21:37,01:14:19,PTVI Women,,2021 World Triathlon Para Cup Besancon,2021-06-13,World Para Cup,,,,682.0,94.0,2065.0,91.0,1297.0,4459.0,B2,,,False,682.0,4459.0,4229.0,4229.0,682.0,230.0,Unknown,,,,,,1:14:19,2021 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
154586,453968,40701,Susana Rodriguez B1,Spain,FINISH,1.0,00:13:47,00:01:23,00:33:01,00:01:51,00:20:25,01:10:27,PTVI Women,,2021 World Triathlon Para Cup A Coruna,2021-06-20,World Para Cup,,,,827.0,83.0,1981.0,111.0,1225.0,4227.0,B1,,,False,827.0,4227.0,4227.0,4227.0,827.0,0.0,Unknown,,,,,,1:10:27,2021 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
131301,508226,40701,Susana Rodriguez B1,Spain,FINISH,1.0,00:12:29,00:01:17,00:31:36,00:00:57,00:20:56,01:07:15,PTVI Women,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,749.0,77.0,1896.0,57.0,1256.0,4035.0,B1,,,False,749.0,4035.0,4035.0,4035.0,749.0,0.0,Unknown,,,,,,1:07:15,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
131301,508226,83022,Alison Peasgood B2,Great Britain,FINISH,4.0,00:12:28,00:01:22,00:31:41,00:01:01,00:21:27,01:11:47,PTVI Women,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,748.0,82.0,1901.0,61.0,1287.0,4307.0,B2,,,False,748.0,4307.0,4079.0,4079.0,748.0,228.0,Unknown,,,,,,1:11:47,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
155520,500570,40701,Susana Rodriguez B1,Spain,FINISH,1.0,00:10:21,00:01:28,00:31:31,00:01:00,00:20:49,01:05:09,PTVI Women,,2021 World Triathlon Para Cup Alhandra,2021-10-30,World Para Cup,,,,621.0,88.0,1891.0,60.0,1249.0,3909.0,B1,,,False,621.0,3909.0,3909.0,3909.0,621.0,0.0,Unknown,,,,,,1:05:09,2021 World Triathlon Para Cup Alhandra,False,False,False,False,False,False,False,False,False
155520,500570,129626,Judith MacCombe B3,Ireland,DSQ,,00:13:29,00:01:44,00:33:13,00:01:14,00:21:33,DSQ,PTVI Women,,2021 World Triathlon Para Cup Alhandra,2021-10-30,World Para Cup,,,,,,,,,,B3,,,False,,,,,,,Unknown,,,,,,,2021 World Triathlon Para Cup Alhandra,False,False,False,False,False,False,False,False,False
155520,500570,129627,Chloe MacCombe B3,Ireland,FINISH,3.0,00:11:50,00:01:39,00:31:17,00:00:59,00:21:57,01:11:30,PTVI Women,,2021 World Triathlon Para Cup Alhandra,2021-10-30,World Para Cup,,,,710.0,99.0,1877.0,59.0,1317.0,4290.0,B3,,,False,710.0,4290.0,4062.0,4062.0,710.0,228.0,Unknown,,,,,,1:11:30,2021 World Triathlon Para Cup Alhandra,False,False,False,False,False,False,False,False,False
162511,526357,129627,Chloe MacCombe B3,Ireland,FINISH,8.0,00:15:04,00:01:32,00:30:38,00:01:02,00:22:33,01:14:34,PTVI Women,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,904.0,92.0,1838.0,62.0,1353.0,4474.0,B3,,,False,904.0,4474.0,4249.0,4249.0,904.0,225.0,Unknown,,,,,,1:14:34,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
