event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,biketime_sec_outlier,swimtime_sec_outlier,bike_speed_kmh_outlier,swim_pace_s_per_100m_outlier,run_pace_s_per_km_outlier,t2time_sec_outlier,t1time_sec_outlier,runtime_sec_outlier,bike_pace_s_per_km_outlier
152696,452695,83771,Kendall Gretsch H2,United States,FINISH,1.0,00:12:38,00:01:33,00:35:57,00:00:51,00:12:49,01:07:52,PTWC Women,,2021 World Triathlon Para Series Yokohama,2021-05-15,World Para Series,,,,758.0,93.0,2157.0,51.0,769.0,4072.0,H2,,,False,758.0,4072.0,3828.0,3828.0,758.0,244.0,Unknown,,,,,,1:07:52,2021 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
152696,452695,124233,Jessica Ferreira H1,Brazil,FINISH,2.0,00:16:11,00:01:53,00:35:39,00:01:01,00:13:26,01:08:10,PTWC Women,,2021 World Triathlon Para Series Yokohama,2021-05-15,World Para Series,,,,971.0,113.0,2139.0,61.0,806.0,4090.0,H1,,,False,971.0,4090.0,4090.0,4090.0,971.0,0.0,Unknown,,,,,,1:08:10,2021 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
152698,452752,132337,Leanne Taylor H1,Canada,FINISH,6.0,00:16:12,00:04:14,00:56:57,00:01:13,00:17:56,01:36:31,PTWC Women,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,972.0,254.0,3417.0,73.0,1076.0,5791.0,H1,,,False,972.0,5791.0,5792.0,5792.0,972.0,-1.0,Unknown,,,,,,1:36:31,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
152698,452752,83771,Kendall Gretsch H2,United States,FINISH,1.0,00:12:49,00:03:37,00:43:46,00:00:43,00:14:42,01:19:40,PTWC Women,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,769.0,217.0,2626.0,43.0,882.0,4780.0,H2,,,False,769.0,4780.0,4537.0,4537.0,769.0,243.0,Unknown,,,,,,1:19:40,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
154586,453958,132337,Leanne Taylor H1,Canada,FINISH,5.0,00:16:32,00:01:09,00:50:06,00:01:45,00:17:19,01:26:51,PTWC Women,,2021 World Triathlon Para Cup A Coruna,2021-06-20,World Para Cup,,,,992.0,69.0,3006.0,105.0,1039.0,5211.0,H1,,,False,992.0,5211.0,5211.0,5211.0,992.0,0.0,Unknown,,,,,,1:26:51,2021 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
154586,453958,124233,Jessica Ferreira H1,Brazil,FINISH,1.0,00:16:38,00:00:57,00:41:34,00:01:40,00:15:36,01:16:25,PTWC Women,,2021 World Triathlon Para Cup A Coruna,2021-06-20,World Para Cup,,,,998.0,57.0,2494.0,100.0,936.0,4585.0,H1,,,False,998.0,4585.0,4585.0,4585.0,998.0,0.0,Unknown,,,,,,1:16:25,2021 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
131301,508224,122515,Lauren Parker H1,Australia,FINISH,2.0,00:11:47,00:02:11,00:37:03,00:01:09,00:14:16,01:06:26,PTWC Women,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,707.0,131.0,2223.0,69.0,856.0,3986.0,H1,,,False,707.0,3986.0,3986.0,3986.0,707.0,0.0,Unknown,,,,,,1:06:26,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
131301,508224,124233,Jessica Ferreira H1,Brazil,FINISH,4.0,00:16:31,00:02:12,00:40:26,00:01:13,00:16:01,01:16:23,PTWC Women,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,991.0,132.0,2426.0,73.0,961.0,4583.0,H1,,,False,991.0,4583.0,4583.0,4583.0,991.0,0.0,Unknown,,,,,,1:16:23,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
131301,508224,83771,Kendall Gretsch H2,United States,FINISH,1.0,00:11:12,00:01:33,00:35:58,00:00:43,00:12:55,01:06:25,PTWC Women,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,672.0,93.0,2158.0,43.0,775.0,3985.0,H2,,,False,672.0,3985.0,3741.0,3741.0,672.0,244.0,Unknown,,,,,,1:06:25,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
162511,526347,132337,Leanne Taylor H1,Canada,FINISH,6.0,00:14:26,00:02:33,00:47:20,00:01:20,00:14:03,01:19:41,PTWC Women,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,866.0,153.0,2840.0,80.0,843.0,4781.0,H1,,,False,866.0,4781.0,4782.0,4782.0,866.0,-1.0,Unknown,,,,,,1:19:41,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
162511,526347,122515,Lauren Parker H1,Australia,FINISH,1.0,00:11:36,00:02:43,00:34:54,00:01:24,00:14:48,01:05:24,PTWC Women,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,696.0,163.0,2094.0,84.0,888.0,3924.0,H1,,,False,696.0,3924.0,3925.0,3925.0,696.0,-1.0,Unknown,,,,,,1:05:24,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
162511,526347,124233,Jessica Ferreira H1,Brazil,FINISH,2.0,00:14:31,00:02:24,00:37:41,00:01:17,00:13:28,01:09:19,PTWC Women,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,871.0,144.0,2261.0,77.0,808.0,4159.0,H1,,,False,871.0,4159.0,4161.0,4161.0,871.0,-2.0,Unknown,,,,,,1:09:19,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
163470,544239,124233,Jessica Ferreira H1,Brazil,FINISH,3.0,00:15:08,00:02:29,00:37:26,00:01:22,00:17:24,01:13:49,PTWC Women,sprint,2022 World Triathlon Para Series Yokohama,2022-05-14,World Para Series,750.0,20000.0,5000.0,908.0,149.0,2246.0,82.0,1044.0,4429.0,H1,,,False,908.0,4429.0,4429.0,4429.0,908.0,0.0,Sprint,121.06666666666666,112.3,208.8,32.05699020480855,19.919284060552094,1:13:49,2022 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
163470,544239,132337,Leanne Taylor H1,Canada,FINISH,2.0,00:14:51,00:01:55,00:40:29,00:01:10,00:15:01,01:13:26,PTWC Women,sprint,2022 World Triathlon Para Series Yokohama,2022-05-14,World Para Series,750.0,20000.0,5000.0,891.0,115.0,2429.0,70.0,901.0,4406.0,H1,,,False,891.0,4406.0,4406.0,4406.0,891.0,0.0,Sprint,118.8,121.45,180.2,29.641827912721283,18.418572251955535,1:13:26,2022 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
163473,545478,132337,Leanne Taylor H1,Canada,FINISH,2.0,00:00:00,00:00:00,00:52:14,00:01:17,00:15:33,01:25:40,PTWC Women,sprint,2022 World Triathlon Para Cup Besancon,2022-06-11,World Para Cup,,,,,,3134.0,77.0,933.0,5140.0,H1,,,False,,5140.0,,,,,Sprint,,,,,,1:25:40,2022 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
163485,545434,132337,Leanne Taylor H1,Canada,DNF,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNF,PTWC Women,sprint,2022 World Triathlon Para Cup A Coruna,2022-06-19,World Para Cup,750.0,20800.0,5050.0,,,,,,,H1,,,False,,,,,,,Sprint,,,,,,,2022 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
166221,553015,122515,Lauren Parker H1,Australia,FINISH,1.0,00:13:22,00:00:00,00:37:00,00:01:05,00:13:43,01:05:08,PTWC Women,,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,802.0,,2220.0,65.0,823.0,3908.0,H1,,,False,802.0,3908.0,,,802.0,,Sprint,106.93333333333334,98.66666666666667,164.6,36.486486486486484,22.671644594594593,1:05:08,2022 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
166221,553015,132337,Leanne Taylor H1,Canada,FINISH,3.0,00:15:17,00:00:00,00:43:15,00:00:52,00:13:18,01:12:40,PTWC Women,,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,917.0,,2595.0,52.0,798.0,4360.0,H1,,,False,917.0,4360.0,,,917.0,,Sprint,122.26666666666667,115.33333333333333,159.6,31.213872832369944,19.395395375722543,1:12:40,2022 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
