event_date,event_name,dist,cat,swim_m,bike_m,run_m,h_pos,h_swim,h_bike,h_run,h_total,pod_swim,pod_bike,pod_run,pod_total,n_finishers,n_podium_ref,prk_swim,prk_bike,prk_run,prk_total,pry_swim,pry_bike,pry_run,pry_total,d_swim_vs_pod,pace_h_swim,pace_pod_swim,pace_d_swim,d_bike_vs_pod,pace_h_bike,pace_pod_bike,pace_d_bike,d_run_vs_pod,pace_h_run,pace_pod_run,pace_d_run,year
2022-03-13,2022 Americas Triathlon Para Championships Sarasota-Bradenton,,Continental Championships,,,,4,936.0,2972.0,1358.0,5533.0,1052.6666666666667,2331.0,968.0,4419.0,6,3,,,,,,,,,-116.66666666666674,,,,641.0,,,,390.0,,,,2022
2023-03-12,2023 Americas Triathlon Para Championships Sarasota,sprint,Continental Championships,425.0,18300.0,5000.0,5,466.0,2456.0,929.0,4110.0,563.3333333333334,2259.3333333333335,884.3333333333334,3768.6666666666665,5,3,,,,,637.0,2510.0,844.0,4065.0,-97.33333333333337,109.6470588235294,132.54901960784315,-22.901960784313744,196.66666666666652,134.20765027322403,123.4608378870674,10.746812386156634,44.66666666666663,185.8,176.86666666666667,8.933333333333337,2023
2023-04-15,2023 Americas Triathlon Para Cup St. Peters Missouri,sprint,Continental Cup,,18400.0,,1,754.0,3099.0,1282.0,5462.0,754.0,3099.0,1282.0,5462.0,1,1,,,,,,,,,0.0,,,,0.0,168.42391304347828,168.42391304347828,0.0,0.0,,,,2023
2023-07-01,2023 World Triathlon Para Cup A Coruna,sprint,World Para Cup,750.0,20800.0,5000.0,3,748.0,2971.0,955.0,5037.0,881.5,2412.5,845.5,4336.5,4,2,,,,,,,,,-133.5,99.73333333333333,117.53333333333333,-17.799999999999997,558.5,142.83653846153845,115.98557692307692,26.850961538461533,109.5,191.0,169.1,21.900000000000006,2023
2023-07-14,2023 World Triathlon Para Cup Long Beach,sprint,World Para Cup,750.0,20000.0,5000.0,3,752.0,2955.0,969.0,5102.0,891.5,2534.0,891.5,4561.0,3,2,,,,,899.0,2585.0,848.0,4573.0,-139.5,100.26666666666667,118.86666666666666,-18.599999999999994,421.0,147.75,126.7,21.049999999999997,77.5,193.8,178.3,15.5,2023
2023-10-29,2023 World Triathlon Para Cup Taranto,sprint,World Para Cup,750.0,21000.0,5000.0,4,715.0,3386.0,899.0,5310.0,817.6666666666666,2804.6666666666665,862.3333333333334,4611.333333333333,4,3,,,,,854.0,2835.0,829.0,4631.0,-102.66666666666663,95.33333333333333,109.02222222222221,-13.688888888888883,581.3333333333335,161.23809523809524,133.55555555555554,27.682539682539698,36.66666666666663,179.8,172.46666666666667,7.333333333333343,2023
2024-03-08,2024 Americas Triathlon Para Championships Miami,sprint,Continental Championships,750.0,18110.0,4997.0,5,811.0,2282.0,869.0,4224.0,927.0,1910.0,790.0,3681.0,7,3,,,,,921.0,1934.0,816.0,3726.0,-116.0,108.13333333333334,123.6,-15.466666666666654,372.0,126.00773053561569,105.46659304251794,20.54113749309775,79.0,173.90434260556333,158.0948569141485,15.809485691414835,2024
2024-06-01,2024 World Triathlon Para Cup Vigo,sprint,World Para Cup,750.0,20000.0,5000.0,2,778.0,3279.0,1240.0,5713.0,910.0,2716.0,1050.0,5000.0,2,1,,,,,,,,,-132.0,103.73333333333333,121.33333333333333,-17.599999999999994,563.0,163.95,135.8,28.149999999999977,190.0,248.0,210.0,38.0,2024
2024-06-08,2024 World Triathlon Para Cup Taranto,sprint,World Para Cup,750.0,21000.0,5000.0,2,717.0,3069.0,890.0,4985.0,906.0,3205.0,1093.5,5422.5,3,2,,,,,860.0,2636.0,818.0,4407.0,-189.0,95.6,120.8,-25.200000000000003,-136.0,146.14285714285714,152.61904761904762,-6.476190476190482,-203.5,178.0,218.7,-40.69999999999999,2024
2024-06-29,2024 World Triathlon Para Series Montreal,sprint,World Para Series,760.0,20200.0,5000.0,7,737.0,2676.0,898.0,4643.0,797.3333333333334,2156.0,796.6666666666666,3965.0,7,3,,,,,849.0,2275.0,832.0,4092.0,-60.33333333333337,96.97368421052632,104.9122807017544,-7.938596491228083,520.0,132.4752475247525,106.73267326732673,25.74257425742576,101.33333333333337,179.6,159.33333333333331,20.26666666666668,2024
2024-10-17,2024 World Triathlon Para Championships Torremolinos-Andalucia,sprint,World Championships,750.0,19100.0,5000.0,9,758.0,2605.0,869.0,4701.0,800.3333333333334,2135.3333333333335,787.6666666666666,4084.3333333333335,9,3,788.0,2164.0,835.0,4137.0,881.0,2250.0,810.0,4237.0,-42.33333333333337,101.06666666666666,106.71111111111112,-5.64444444444446,469.6666666666665,136.38743455497382,111.7975567190227,24.58987783595113,81.33333333333337,173.8,157.53333333333333,16.26666666666668,2024
2025-09-06,2025 World Triathlon Para Cup Alhandra,sprint,World Para Cup,,19100.0,5000.0,2,1167.0,2404.0,837.0,4753.0,1582.0,2089.0,802.0,4599.0,2,1,,,,,,,,,-415.0,,,,315.0,125.86387434554973,109.37172774869109,16.492146596858646,35.0,167.4,160.4,7.0,2025
2025-10-15,2025 World Triathlon Para Championships Wollongong,sprint,World Championships,750.0,20000.0,5000.0,6,694.0,3098.0,948.0,5090.0,771.6666666666666,2498.3333333333335,859.6666666666666,4307.0,6,3,719.0,2416.0,905.0,4243.0,800.0,2515.0,829.0,4313.0,-77.66666666666663,92.53333333333333,102.88888888888889,-10.355555555555554,599.6666666666665,154.9,124.91666666666667,29.983333333333334,88.33333333333337,189.6,171.93333333333334,17.666666666666657,2025
2026-05-16,2026 World Triathlon Para Series Yokohama,sprint,World Para Series,750.0,17870.0,5000.0,6,713.0,2071.0,816.0,3963.0,799.0,1869.6666666666667,781.6666666666666,3649.3333333333335,7,3,735.0,1828.0,804.0,3579.0,840.0,1868.0,770.0,3684.0,-86.0,95.06666666666666,106.53333333333333,-11.466666666666669,201.33333333333326,115.89255735870172,104.62600261145309,11.266554747248634,34.33333333333337,163.2,156.33333333333331,6.866666666666674,2026
