event_name,event_date,program,athlete_name,country,position,is_podium,is_win
2025 Americas Triathlon Cup La Habana,2025-02-16,Elite Men,Blake Bullard,United States,2,True,False
2025 Americas Triathlon Cup Miami,2025-03-28,Elite Men,Blake Bullard,United States,31,False,False
2025 Americas Triathlon Cup La Paz,2025-03-22,Elite Men,Blake Bullard,United States,21,False,False
2025 Americas Triathlon Cup Ixtapa,2025-05-17,Elite Men,Blake Bullard,United States,,False,False
2025 Americas Triathlon Cup Magog,2025-07-12,Elite Men,Blake Bullard,United States,5,False,False
2025 Americas Triathlon Cup Miami,2025-03-28,Elite Men,Mathis Beaulieu,Canada,8,False,False
2025 World Triathlon Cup Chengdu,2025-05-10,Elite Men,Mathis Beaulieu,Canada,11,False,False
2025 World Triathlon Cup Samarkand,2025-05-24,Elite Men,Mathis Beaulieu,Canada,3,True,False
2025 Americas Triathlon Cup Montreal,2025-07-19,Elite Men,Mathis Beaulieu,Canada,1,True,True
2025 Americas Triathlon Cup La Habana,2025-02-16,Elite Men,Braxton Legg,United States,1,True,True
2025 Americas Triathlon Cup Miami,2025-03-28,Elite Men,Braxton Legg,United States,6,False,False
2025 Americas Triathlon Cup La Paz,2025-03-22,Elite Men,Braxton Legg,United States,5,False,False
2025 Americas Triathlon Cup Magog,2025-07-12,Elite Men,Braxton Legg,United States,3,True,False
2025 World Triathlon Cup Samarkand,2025-05-24,Elite Men,Braxton Legg,United States,,False,False
2025 Americas Triathlon Cup Montreal,2025-07-19,Elite Men,Braxton Legg,United States,3,True,False
2025 Americas Triathlon Championships Calima,2025-06-07,Elite Men,Braxton Legg,United States,15,False,False
2025 Americas Triathlon Cup Kelowna,2025-08-09,Elite Men,Braxton Legg,United States,10,False,False
2025 Americas Triathlon Cup La Paz,2025-03-22,Elite Men,Luke Anthony,United States,26,False,False
2025 Americas Triathlon Cup Salinas,2025-05-31,Elite Men,Luke Anthony,United States,1,True,True
2025 Americas Triathlon Cup Magog,2025-07-12,Elite Men,Luke Anthony,United States,8,False,False
2025 Americas Triathlon Cup Montreal,2025-07-19,Elite Men,Luke Anthony,United States,10,False,False
2025 Americas Triathlon Cup Miami,2025-03-28,Elite Men,Blake Harris,Canada,17,False,False
2025 Americas Triathlon Cup La Paz,2025-03-22,Elite Men,Blake Harris,Canada,28,False,False
2025 Americas Triathlon Cup Salinas,2025-05-31,Elite Men,Blake Harris,Canada,6,False,False
2025 Americas Triathlon Cup Magog,2025-07-12,Elite Men,Blake Harris,Canada,35,False,False
2025 Americas Triathlon Cup Montreal,2025-07-19,Elite Men,Blake Harris,Canada,32,False,False
2025 Americas Triathlon Championships Calima,2025-06-07,Elite Men,Blake Harris,Canada,11,False,False
2025 Americas Triathlon Cup Kelowna,2025-08-09,Elite Men,Blake Harris,Canada,20,False,False
2025 Americas Triathlon Cup La Habana,2025-02-16,Elite Men,Porter Middaugh,United States,6,False,False
2025 Americas Triathlon Cup Miami,2025-03-28,Elite Men,Porter Middaugh,United States,19,False,False
2025 Americas Triathlon Cup La Paz,2025-03-22,Elite Men,Porter Middaugh,United States,10,False,False
2025 Americas Triathlon Cup Magog,2025-07-12,Elite Men,Porter Middaugh,United States,1,True,True
2025 Americas Triathlon Cup Montreal,2025-07-19,Elite Men,Porter Middaugh,United States,35,False,False
2025 Americas Triathlon Championships Calima,2025-06-07,Elite Men,Porter Middaugh,United States,,False,False
2025 Americas Triathlon Cup Kelowna,2025-08-09,Elite Men,Porter Middaugh,United States,18,False,False
2025 World Triathlon Cup Napier,2025-02-23,Elite Men,Keller Norland,United States,20,False,False
2025 Americas Triathlon Cup Miami,2025-03-28,Elite Men,Keller Norland,United States,12,False,False
2025 Americas Triathlon Cup La Paz,2025-03-22,Elite Men,Keller Norland,United States,8,False,False
2025 World Triathlon Cup Chengdu,2025-05-10,Elite Men,Keller Norland,United States,25,False,False
2025 World Triathlon Cup Samarkand,2025-05-24,Elite Men,Keller Norland,United States,19,False,False
2025 Americas Triathlon Championships Calima,2025-06-07,Elite Men,Keller Norland,United States,30,False,False
2025 Americas Triathlon Cup Kelowna,2025-08-09,Elite Men,Keller Norland,United States,1,True,True
2025 World Triathlon Cup Napier,2025-02-23,Elite Men,Reese Vannerson,United States,5,False,False
2025 Americas Triathlon Cup Miami,2025-03-28,Elite Men,Reese Vannerson,United States,1,True,True
2025 Americas Triathlon Cup La Paz,2025-03-22,Elite Men,Reese Vannerson,United States,1,True,True
2025 World Triathlon Cup Chengdu,2025-05-10,Elite Men,Reese Vannerson,United States,1,True,True
2025 World Triathlon Championship Series Hamburg,2025-07-12,Elite Men,Reese Vannerson,United States,,False,False
2025 World Triathlon Cup Samarkand,2025-05-24,Elite Men,Reese Vannerson,United States,23,False,False
2025 Americas Triathlon Cup Kelowna,2025-08-09,Elite Men,Reese Vannerson,United States,2,True,False
2025 World Triathlon Cup Napier,2025-02-23,Elite Men,Sullivan Middaugh,United States,9,False,False
2025 Americas Triathlon Cup Miami,2025-03-28,Elite Men,Sullivan Middaugh,United States,14,False,False
2025 Americas Triathlon Cup La Paz,2025-03-22,Elite Men,Sullivan Middaugh,United States,3,True,False
2025 Americas Triathlon Championships Calima,2025-06-07,Elite Men,Sullivan Middaugh,United States,2,True,False
2025 Americas Triathlon Cup Kelowna,2025-08-09,Elite Men,Sullivan Middaugh,United States,5,False,False
