event_name,event_date,athlete_name,country,position,program
2025 Americas Triathlon Cup La Habana,2025-02-16,Carlos Javier Quinchara Forero,Colombia,17,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Juan Jose Giraldo Gomez,Colombia,13,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Hugo Mario Ruiz Dimate,Colombia,4,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Alejandro Rodriguez Diez,Cuba,3,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Erik Yamir Ramos Croda,Mexico,12,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Jorge Raul Cabinal Gramajo,Guatemala,20,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Jorge Emmanuel Alemañez Martínez,Cuba,18,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Samuel Zuluaga Cardona,Colombia,23,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Humberto Castañeiras Jenner,Mexico,5,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Hernando Serna Cordoba,Colombia,9,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Dillon Longo,Canada,15,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Dixon Hernandez,Venezuela,14,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Cristopher Alexander Cardenas Jimenez,Venezuela,11,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Brett Saunders,Canada,10,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Braxton Legg,United States,1,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Tiago Muñoz,Argentina,7,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Ramses Montilla,Venezuela,25,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Carter Stuhlmacher,United States,16,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Isaac Lamprecht,United States,22,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Blake Bullard,United States,2,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Joshua Bird,Canada,8,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Alian Alfonso Gonzalez Aviles,Dominican Republic,LAP,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Caleb Obad Infante Marine,Cuba,24,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Porter Middaugh,United States,6,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Nico Wood,South Africa,21,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Cristian Torrealba,Venezuela,19,Elite Men
2025 Americas Triathlon Cup La Habana,2025-02-16,Lowrin Esmil Feliz Ramirez,Dominican Republic,LAP,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Gregor Payet,Luxembourg,11,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Jérémy Quindos,Uzbekistan,7,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Koki Yamamoto,Japan,10,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Ivan Anzaldo,Argentina,30,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Satoshi Iwamoto,Japan,17,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Martin Sobey,Canada,9,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Hokuto Obara,Japan,22,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Aiden Longcroft-Harris,Canada,23,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Pavlos Antoniades,Canada,12,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Liam Donnelly,Canada,2,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Alvaro Campos Solano,Costa Rica,19,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Yann Allichon,France,4,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Luke McCarron,Ireland,31,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Tristen Jones,Canada,29,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Esteban Tibocha,Colombia,25,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Kanta Ando,Japan,DNF,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Ben Fäh,Switzerland,41,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Trevor Laupland,Canada,38,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Nicholas Pilgrim,Bermuda,34,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Clayton Hutchins,Canada,21,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Yuya Kobayashi,Japan,37,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Luke Anthony,United States,8,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Blake Harris,Canada,35,Elite Men
2025 Americas Triathlon Cup Magog,2025-07-12,Kyle Boorsma,Canada,28,Elite Men
