event_id,event_name,event_date,event_venue,event_country,event_categories,nomination_date
194317,2025 Africa Triathlon Cup Kilifi,2025-10-12,Kilifi,Kenya,Continental Cup,2025-09-09
194950,2025 Asia Triathlon Para Championships and Para Cup Chiba City,2025-10-12,Inage Seaside Park,Japan,"Continental Championships, Continental Para Cup",2025-09-09
194905,2025 Europe Triathlon Cup Tenerife - Santa Cruz,2025-10-12,Tenerife - Santa Cruz,Spain,Continental Cup,2025-09-09
188995,2025 World Triathlon Age-Group Aquabike Championships Wollongong,2025-10-15,Wollongong,Australia,"World Championships, Age-Group Event",2025-09-09
188994,2025 World Triathlon Age-Group Championships Wollongong,2025-10-15,Wollongong,Australia,"World Championships, Age-Group Event",2025-09-09
188992,2025 World Triathlon Championship Finals Wollongong,2025-10-15,Wollongong,Australia,"World Championships, World Championship Finals, World Championship Series",2025-09-09
188993,2025 World Triathlon Para Championships Wollongong,2025-10-15,Wollongong,Australia,World Championships,2025-09-09
194997,2025 Asia Triathlon Cup Chongqing,2025-10-18,Changshou District,China,Continental Cup,2025-09-16
194737,2025 Asia Triathlon Cup Kota Kinabalu,2025-10-23,Kota Kinabalu,Malaysia,Continental Cup,2025-09-23
195058,2025 Americas Triathlon Cup Iquique,2025-10-25,Playa Cavancha,Chile,Continental Cup,2025-09-23
195059,2025 Americas Triathlon Junior Cup Iquique,2025-10-25,PLaya Cavancha,Chile,Continental Junior Cup,2025-09-23
194273,2025 Europe Triathlon Cup Alanya,2025-10-25,Alanya,Türkiye,Continental Cup,2025-09-23
194965,2025 Europe Triathlon Junior Cup Alanya,2025-10-25,,Türkiye,Continental Junior Cup,2025-09-23
194200,2025 World Triathlon Cup Brasil (location tbc),2025-10-25,,Brazil,World Cup,2025-09-23
194930,2025 World Triathlon Para Cup Alanya,2025-10-26,Alanya,Türkiye,World Para Cup,2025-09-23
194738,2025 Asia Triathlon Junior and U23 Championships Aqaba,2025-10-30,Aqaba,Jordan,Continental Championships,2025-09-30
194865,2025 Americas Triathlon Cup Vina del Mar,2025-11-02,Viña del Mar,Chile,Continental Cup,2025-09-30
194206,2025 World Triathlon Cup Vina del Mar,2025-11-02,Vina del Mar,Chile,World Cup,2025-09-30
195076,2025 World Triathlon Para Cup San Pedro de la Paz,2025-11-08,"Laguna Grande, San Pedro de la Paz",Chile,World Para Cup,2025-10-07
194209,2025 World Triathlon Cup Miyazaki,2025-11-09,Miyazaki,Japan,World Cup,2025-10-07
195007,2025 World Triathlon Cup San Pedro de la Paz,2025-11-09,"Laguna Grande, San Pedro de La Paz",Chile,World Cup,2025-10-07
195093,2025 World Triathlon Cup Florianopolis,2025-11-15,,Brazil,World Cup,2025-10-14
194207,2025 World Triathlon Cup Tongyeong,2025-11-15,Tongyeong,"Korea, South",World Cup,2025-10-14
194875,2025 Americas Triathlon Cup Manta,2025-11-23,,Ecuador,Continental Cup,2025-10-21
194736,2025 Asia Triathlon Youth and U15 Championships Jeddah,2025-12-05,Jeddah,Saudi Arabia,Continental Championships,2025-11-04
195061,2025 Americas Triathlon Cup and Iberoamerican Championships Maldonado,2025-12-06,,Uruguay,"Regional Championships, Continental Cup",2025-11-04
194739,2025 Asia Triathlon Sprint Duathlon Championships Kish Island,2025-12-21,Kish Island,Iran,Continental Championships,2025-11-18
160815,1999 test event,2026-05-01,Hudayriyat Island,Serbia,Continental Cup,2026-03-31
195118,2026 Europe Triathlon Age-Group Championships Tarragona,2026-06-13,Tarragona,Spain,"Continental Championships, Age-Group Event",2026-05-12
195114,2026 Europe Triathlon Championships Tarragona,2026-06-13,Tarragona,Spain,Continental Championships,2026-05-12
195117,2026 Europe Triathlon Age-Group Aquabike Championships Banyoles,2026-07-11,Banyoles,Spain,"Age-Group Event, Continental Championships",2026-06-09
195121,2026 Europe Triathlon Aquathlon Championships Banyoles,2026-07-11,Banyoles,Spain,"Continental Championships, Age-Group Event",2026-06-09
195120,2026 Europe Triathlon Cross Duathlon Championships Banyoles,2026-07-11,,Spain,"Continental Championships, Age-Group Event",2026-06-09
195119,2026 Europe Triathlon Cross Triathlon Championships Banyoles,2026-07-11,Banyoles,Spain,"Continental Championships, Age-Group Event",2026-06-09
195122,2026 Europe Triathlon Duathlon Championships Banyoles,2026-07-11,,Spain,"Continental Championships, Age-Group Event",2026-06-09
195123,2026 Europe Triathlon Middle Distance Championships Banyoles,2026-07-11,,Spain,"Continental Championships, Age-Group Event",2026-06-09
195113,2026 Europe Triathlon Multisport Championships Banyoles,2026-07-11,Banyoles,Spain,"Continental Championships, Age-Group Event",2026-06-09
195080,2026 World Triathlon Powerman Long Distance Duathlon Championships Zofingen,2026-09-06,Zofingen,Switzerland,"World Championships, Age-Group Event",2026-08-04
195085,2026 World Triathlon Age-Group Aquabike Championships Pontevedra,2026-09-23,,Spain,"World Championships, Age-Group Event",2026-08-18
195086,2026 World Triathlon Age-Group Championships Pontevedra,2026-09-23,,Spain,"World Championships, Age-Group Event",2026-08-18
195088,2026 World Triathlon Championship Finals Pontevedra,2026-09-23,,Spain,"World Championship Finals, World Championships",2026-08-18
195087,2026 World Triathlon Para Championships Pontevedra,2026-09-23,,Spain,World Championships,2026-08-18
