event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label
152696,452696,91519,Lionel Morales,Spain,FINISH,1,00:11:16,00:02:16,00:33:15,00:01:28,00:20:12,01:08:27,PTS2 Men,,2021 World Triathlon Para Series Yokohama,2021-05-15,World Para Series,,,,676.0,136.0,1995.0,88.0,1212.0,4107.0,,,,False,676.0,4107.0,4107.0,4107.0,676.0,0.0,Unknown,,,,,,1:08:27,2021 World Triathlon Para Series Yokohama
152696,452696,106588,Maurits Morsink,Netherlands,FINISH,2,00:18:05,00:01:59,00:30:58,00:01:10,00:17:56,01:10:08,PTS2 Men,,2021 World Triathlon Para Series Yokohama,2021-05-15,World Para Series,,,,1085.0,119.0,1858.0,70.0,1076.0,4208.0,,,,False,1085.0,4208.0,4208.0,4208.0,1085.0,0.0,Unknown,,,,,,1:10:08,2021 World Triathlon Para Series Yokohama
152698,452753,122421,Jules Ribstein,France,FINISH,1,00:10:58,00:02:50,00:15:52,00:22:35,00:19:32,01:11:44,PTS2 Men,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,658.0,170.0,952.0,1355.0,1172.0,4304.0,,,,False,658.0,4304.0,4307.0,4307.0,658.0,-3.0,Unknown,,,,,,1:11:44,AJ Bell 2021 World Triathlon Para Series Leeds
152698,452753,106588,Maurits Morsink,Netherlands,FINISH,2,00:17:25,00:02:51,00:34:44,00:01:04,00:17:18,01:13:20,PTS2 Men,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,1045.0,171.0,2084.0,64.0,1038.0,4400.0,,,,False,1045.0,4400.0,4402.0,4402.0,1045.0,-2.0,Unknown,,,,,,1:13:20,AJ Bell 2021 World Triathlon Para Series Leeds
154584,453929,122421,Jules Ribstein,France,FINISH,1,00:10:44,00:01:42,00:37:17,00:01:49,00:21:33,01:13:07,PTS2 Men,,2021 World Triathlon Para Cup Besancon,2021-06-13,World Para Cup,,,,644.0,102.0,2237.0,109.0,1293.0,4387.0,,,,False,644.0,4387.0,4385.0,4385.0,644.0,2.0,Unknown,,,,,,1:13:07,2021 World Triathlon Para Cup Besancon
154584,453929,106588,Maurits Morsink,Netherlands,FINISH,2,00:16:31,00:02:02,00:35:46,00:01:27,00:20:12,01:15:59,PTS2 Men,,2021 World Triathlon Para Cup Besancon,2021-06-13,World Para Cup,,,,991.0,122.0,2146.0,87.0,1212.0,4559.0,,,,False,991.0,4559.0,4558.0,4558.0,991.0,1.0,Unknown,,,,,,1:15:59,2021 World Triathlon Para Cup Besancon
154586,453959,91519,Lionel Morales,Spain,FINISH,2,00:11:22,00:01:48,00:38:04,00:02:50,00:21:06,01:15:12,PTS2 Men,,2021 World Triathlon Para Cup A Coruna,2021-06-20,World Para Cup,,,,682.0,108.0,2284.0,170.0,1266.0,4512.0,,,,False,682.0,4512.0,4510.0,4510.0,682.0,2.0,Unknown,,,,,,1:15:12,2021 World Triathlon Para Cup A Coruna
155520,500561,122421,Jules Ribstein,France,FINISH,1,00:12:25,00:01:40,00:32:40,00:01:09,00:20:41,01:08:35,PTS2 Men,,2021 World Triathlon Para Cup Alhandra,2021-10-30,World Para Cup,,,,745.0,100.0,1960.0,69.0,1241.0,4115.0,,,,False,745.0,4115.0,4115.0,4115.0,745.0,0.0,Unknown,,,,,,1:08:35,2021 World Triathlon Para Cup Alhandra
163470,544238,22133,Mohamed Lahna,United States,FINISH,2,00:12:49,00:01:56,00:32:54,00:01:19,00:23:45,01:12:43,PTS2 Men,sprint,2022 World Triathlon Para Series Yokohama,2022-05-14,World Para Series,750.0,20000.0,5000.0,769.0,116.0,1974.0,79.0,1425.0,4363.0,,,,False,769.0,4363.0,4363.0,4363.0,769.0,0.0,Sprint,102.53333333333333,98.7,285.0,36.474164133738604,22.66398784194529,1:12:43,2022 World Triathlon Para Series Yokohama
163470,544238,91519,Lionel Morales,Spain,FINISH,1,00:11:31,00:02:25,00:32:10,00:01:24,00:22:17,01:09:47,PTS2 Men,sprint,2022 World Triathlon Para Series Yokohama,2022-05-14,World Para Series,750.0,20000.0,5000.0,691.0,145.0,1930.0,84.0,1337.0,4187.0,,,,False,691.0,4187.0,4187.0,4187.0,691.0,0.0,Sprint,92.13333333333334,96.5,267.4,37.30569948186529,23.180679792746115,1:09:47,2022 World Triathlon Para Series Yokohama
