event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,biketime_sec_outlier,bike_speed_kmh_outlier,t1time_sec_outlier,bike_pace_s_per_km_outlier,t2time_sec_outlier,swim_pace_s_per_100m_outlier,runtime_sec_outlier,run_pace_s_per_km_outlier,swimtime_sec_outlier
152696,452698,133006,Nico Van Der Burgt,Netherlands,FINISH,1.0,00:10:55,00:01:46,00:31:37,00:01:07,00:20:34,01:05:59,PTS3 Men,,2021 World Triathlon Para Series Yokohama,2021-05-15,World Para Series,,,,655.0,106.0,1897.0,67.0,1234.0,3959.0,,,,False,655.0,3959.0,3959.0,3959.0,655.0,0.0,Unknown,,,,,,1:05:59,2021 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
152698,452755,133006,Nico Van Der Burgt,Netherlands,FINISH,1.0,00:10:48,00:02:34,00:35:17,00:01:11,00:20:02,01:09:50,PTS3 Men,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,648.0,154.0,2117.0,71.0,1202.0,4190.0,,,,False,648.0,4190.0,4192.0,4192.0,648.0,-2.0,Unknown,,,,,,1:09:50,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
152698,452755,58157,Daniel Molina,Spain,DNF,,00:10:46,00:02:25,00:43:02,00:00:00,00:00:00,DNF,PTS3 Men,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,,,,,,,,,,False,,,,,,,Unknown,,,,,,,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
154584,453931,133006,Nico Van Der Burgt,Netherlands,FINISH,1.0,00:10:32,00:01:37,00:37:58,00:01:52,00:23:06,01:15:07,PTS3 Men,,2021 World Triathlon Para Cup Besancon,2021-06-13,World Para Cup,,,,632.0,97.0,2278.0,112.0,1386.0,4507.0,,,,False,632.0,4507.0,4505.0,4505.0,632.0,2.0,Unknown,,,,,,1:15:07,2021 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
154586,453961,58157,Daniel Molina,Spain,FINISH,1.0,00:10:45,00:01:28,00:38:28,00:01:59,00:19:39,01:12:20,PTS3 Men,,2021 World Triathlon Para Cup A Coruna,2021-06-20,World Para Cup,,,,645.0,88.0,2308.0,119.0,1179.0,4340.0,,,,False,645.0,4340.0,4339.0,4339.0,645.0,1.0,Unknown,,,,,,1:12:20,2021 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
162511,526350,133006,Nico Van Der Burgt,Netherlands,FINISH,3.0,00:11:31,00:01:44,00:31:41,00:01:28,00:23:28,01:09:50,PTS3 Men,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,691.0,104.0,1901.0,88.0,1408.0,4190.0,,,,False,691.0,4190.0,4192.0,4192.0,691.0,-2.0,Unknown,,,,,,1:09:50,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
162511,526350,58157,Daniel Molina,Spain,FINISH,2.0,00:11:06,00:01:57,00:34:14,00:01:40,00:20:20,01:09:15,PTS3 Men,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,666.0,117.0,2054.0,100.0,1220.0,4155.0,,,,False,666.0,4155.0,4157.0,4157.0,666.0,-2.0,Unknown,,,,,,1:09:15,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
163473,545481,133006,Nico Van Der Burgt,Netherlands,DNS,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,PTS3 Men,sprint,2022 World Triathlon Para Cup Besancon,2022-06-11,World Para Cup,,,,,,,,,,,,,False,,,,,,,Sprint,,,,,,,2022 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
163473,545481,141553,Cedric Denuziere,France,FINISH,3.0,00:14:18,00:01:57,00:41:36,00:02:35,00:25:26,01:25:55,PTS3 Men,sprint,2022 World Triathlon Para Cup Besancon,2022-06-11,World Para Cup,,,,858.0,117.0,2496.0,155.0,1526.0,5155.0,,,,False,858.0,5155.0,5152.0,5152.0,858.0,3.0,Sprint,,,,,,1:25:55,2022 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
163485,545437,58157,Daniel Molina,Spain,FINISH,1.0,00:11:38,00:01:34,00:34:58,00:03:59,00:20:13,01:12:24,PTS3 Men,sprint,2022 World Triathlon Para Cup A Coruna,2022-06-19,World Para Cup,750.0,20800.0,5050.0,698.0,94.0,2098.0,239.0,1213.0,4344.0,,,,False,698.0,4344.0,4342.0,4342.0,698.0,2.0,Sprint,93.06666666666666,100.86538461538461,240.1980198019802,35.69113441372736,22.177435881792185,1:12:24,2022 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
163485,545437,141553,Cedric Denuziere,France,FINISH,3.0,00:16:39,00:01:34,00:41:35,00:01:35,00:23:23,01:24:48,PTS3 Men,sprint,2022 World Triathlon Para Cup A Coruna,2022-06-19,World Para Cup,750.0,20800.0,5050.0,999.0,94.0,2495.0,95.0,1403.0,5088.0,,,,False,999.0,5088.0,5086.0,5086.0,999.0,2.0,Sprint,133.2,119.95192307692307,277.82178217821786,30.012024048096194,18.64860139478958,1:24:48,2022 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
166221,553010,133006,Nico Van Der Burgt,Netherlands,DSQ,,00:11:07,00:01:38,00:36:49,00:00:56,00:21:59,DSQ,PTS3 Men,Sprint,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,,,,,,,,,,False,,,,,,,Sprint,,,,,,,2022 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
166221,553010,143430,Christopher Marston,United States,FINISH,3.0,00:14:47,00:01:51,00:39:46,00:00:44,00:21:27,01:18:32,PTS3 Men,Sprint,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,887.0,111.0,2386.0,44.0,1287.0,4712.0,,,,False,887.0,4712.0,4715.0,4715.0,887.0,-3.0,Sprint,118.26666666666667,106.04444444444445,257.4,33.94803017602682,21.09432145850796,1:18:32,2022 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
166221,553010,141553,Cedric Denuziere,France,FINISH,2.0,00:13:58,00:01:07,00:37:51,00:01:13,00:23:15,01:17:22,PTS3 Men,Sprint,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,838.0,67.0,2271.0,73.0,1395.0,4642.0,,,,False,838.0,4642.0,4644.0,4644.0,838.0,-2.0,Sprint,111.73333333333333,100.93333333333334,279.0,35.667107001321,22.162505944517832,1:17:22,2022 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
163477,546891,58157,Daniel Molina,Spain,FINISH,2.0,00:10:32,00:01:43,00:41:24,00:00:57,00:19:17,01:13:50,PTS3 Men,sprint,2022 World Triathlon Para Series Swansea,2022-08-06,World Para Series,750.0,19500.0,5000.0,632.0,103.0,2484.0,57.0,1157.0,4430.0,,,,False,632.0,4430.0,4433.0,4433.0,632.0,-3.0,Sprint,84.26666666666667,127.38461538461539,231.4,28.260869565217394,17.560484782608697,1:13:50,2022 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
163477,546891,141553,Cedric Denuziere,France,FINISH,4.0,00:14:16,00:01:45,00:35:27,00:01:26,00:24:02,01:16:53,PTS3 Men,sprint,2022 World Triathlon Para Series Swansea,2022-08-06,World Para Series,750.0,19500.0,5000.0,856.0,105.0,2127.0,86.0,1442.0,4613.0,,,,False,856.0,4613.0,4616.0,4616.0,856.0,-3.0,Sprint,114.13333333333334,109.07692307692308,288.4,33.00423131170663,20.507872214386463,1:16:53,2022 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
163477,546891,133006,Nico Van Der Burgt,Netherlands,FINISH,1.0,00:10:52,00:01:34,00:33:32,00:00:56,00:21:26,01:08:19,PTS3 Men,sprint,2022 World Triathlon Para Series Swansea,2022-08-06,World Para Series,750.0,19500.0,5000.0,652.0,94.0,2012.0,56.0,1286.0,4099.0,,,,False,652.0,4099.0,4100.0,4100.0,652.0,-1.0,Sprint,86.93333333333334,103.17948717948718,257.2,34.89065606361829,21.68004184890656,1:08:19,2022 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
