event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,swimtime_sec_outlier,bike_speed_kmh_outlier,biketime_sec_outlier,bike_pace_s_per_km_outlier,t1time_sec_outlier,swim_pace_s_per_100m_outlier,run_pace_s_per_km_outlier,t2time_sec_outlier,runtime_sec_outlier
152696,452702,132155,Ronan Cordeiro,Brazil,FINISH,3.0,00:10:29,00:00:55,00:29:53,00:00:42,00:16:20,00:58:19,PTS5 Men,,2021 World Triathlon Para Series Yokohama,2021-05-15,World Para Series,,,,629.0,55.0,1793.0,42.0,980.0,3499.0,,,,False,629.0,3499.0,3499.0,3499.0,629.0,0.0,Unknown,,,,,,58:19,2021 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
152696,452702,96432,Bence Mocsari,Hungary,FINISH,5.0,00:10:47,00:00:56,00:30:47,00:00:44,00:17:08,01:00:22,PTS5 Men,,2021 World Triathlon Para Series Yokohama,2021-05-15,World Para Series,,,,647.0,56.0,1847.0,44.0,1028.0,3622.0,,,,False,647.0,3622.0,3622.0,3622.0,647.0,0.0,Unknown,,,,,,1:00:22,2021 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
152696,452702,56517,Martin Schulz,Germany,FINISH,2.0,00:10:28,00:00:57,00:28:30,00:00:43,00:16:47,00:57:25,PTS5 Men,,2021 World Triathlon Para Series Yokohama,2021-05-15,World Para Series,,,,628.0,57.0,1710.0,43.0,1007.0,3445.0,,,,False,628.0,3445.0,3445.0,3445.0,628.0,0.0,Unknown,,,,,,57:25,2021 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
152698,452759,96432,Bence Mocsari,Hungary,FINISH,9.0,00:10:53,00:01:47,00:34:37,00:00:46,00:17:31,01:05:32,PTS5 Men,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,653.0,107.0,2077.0,46.0,1051.0,3932.0,,,,False,653.0,3932.0,3934.0,3934.0,653.0,-2.0,Unknown,,,,,,1:05:32,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
152698,452759,69962,Chris Hammer,United States,FINISH,1.0,00:11:56,00:01:53,00:32:18,00:00:43,00:14:55,01:01:44,PTS5 Men,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,716.0,113.0,1938.0,43.0,895.0,3704.0,,,,False,716.0,3704.0,3705.0,3705.0,716.0,-1.0,Unknown,,,,,,1:01:44,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
154584,453935,96432,Bence Mocsari,Hungary,FINISH,14.0,00:10:30,00:01:10,00:36:09,00:01:16,00:19:29,01:08:35,PTS5 Men,,2021 World Triathlon Para Cup Besancon,2021-06-13,World Para Cup,,,,630.0,70.0,2169.0,76.0,1169.0,4115.0,,,,False,630.0,4115.0,4114.0,4114.0,630.0,1.0,Unknown,,,,,,1:08:35,2021 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
154584,453935,56517,Martin Schulz,Germany,FINISH,1.0,00:09:50,00:01:08,00:31:42,00:01:14,00:17:23,01:01:20,PTS5 Men,,2021 World Triathlon Para Cup Besancon,2021-06-13,World Para Cup,,,,590.0,68.0,1902.0,74.0,1043.0,3680.0,,,,False,590.0,3680.0,3677.0,3677.0,590.0,3.0,Unknown,,,,,,1:01:20,2021 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
154586,453965,72818,Stefan Daniel,Canada,FINISH,1.0,00:10:14,00:00:58,00:31:41,00:01:20,00:15:34,00:59:48,PTS5 Men,,2021 World Triathlon Para Cup A Coruna,2021-06-20,World Para Cup,,,,614.0,58.0,1901.0,80.0,934.0,3588.0,,,,False,614.0,3588.0,3587.0,3587.0,614.0,1.0,Unknown,,,,,,59:48,2021 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
154586,453965,132155,Ronan Cordeiro,Brazil,FINISH,3.0,00:10:12,00:00:46,00:32:10,00:01:27,00:16:08,01:00:45,PTS5 Men,,2021 World Triathlon Para Cup A Coruna,2021-06-20,World Para Cup,,,,612.0,46.0,1930.0,87.0,968.0,3645.0,,,,False,612.0,3645.0,3643.0,3643.0,612.0,2.0,Unknown,,,,,,1:00:45,2021 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
154586,453965,96432,Bence Mocsari,Hungary,FINISH,11.0,00:10:35,00:00:53,00:33:59,00:01:26,00:18:10,01:05:04,PTS5 Men,,2021 World Triathlon Para Cup A Coruna,2021-06-20,World Para Cup,,,,635.0,53.0,2039.0,86.0,1090.0,3904.0,,,,False,635.0,3904.0,3903.0,3903.0,635.0,1.0,Unknown,,,,,,1:05:04,2021 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
