event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,run_pace_s_per_km_outlier,t1time_sec_outlier,runtime_sec_outlier,t2time_sec_outlier,swimtime_sec_outlier,bike_speed_kmh_outlier,biketime_sec_outlier,swim_pace_s_per_100m_outlier,bike_pace_s_per_km_outlier
152696,452694,75037,Jetze Plat H2,Netherlands,FINISH,1,00:09:55,00:01:08,00:29:02,00:00:49,00:11:14,00:55:16,PTWC Men,,2021 World Triathlon Para Series Yokohama,2021-05-15,World Para Series,,,,595.0,68.0,1742.0,49.0,674.0,3316.0,H2,,,False,595.0,3316.0,3128.0,3128.0,595.0,188.0,Unknown,,,,,,55:16,2021 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
152696,452694,75860,Geert Schipper H2,Netherlands,FINISH,2,00:11:36,00:01:10,00:30:09,00:00:45,00:11:27,00:58:15,PTWC Men,,2021 World Triathlon Para Series Yokohama,2021-05-15,World Para Series,,,,696.0,70.0,1809.0,45.0,687.0,3495.0,H2,,,False,696.0,3495.0,3307.0,3307.0,696.0,188.0,Unknown,,,,,,58:15,2021 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
152696,452694,69957,Howie Sanborn H1,United States,FINISH,8,00:15:59,00:01:44,00:35:51,00:01:29,00:13:00,01:08:03,PTWC Men,,2021 World Triathlon Para Series Yokohama,2021-05-15,World Para Series,,,,959.0,104.0,2151.0,89.0,780.0,4083.0,H1,,,False,959.0,4083.0,4083.0,4083.0,959.0,0.0,Unknown,,,,,,1:08:03,2021 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
152698,452751,69957,Howie Sanborn H1,United States,FINISH,9,00:15:14,00:03:41,00:52:02,00:01:36,00:15:05,01:27:36,PTWC Men,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,914.0,221.0,3122.0,96.0,905.0,5256.0,H1,,,False,914.0,5256.0,5258.0,5258.0,914.0,-2.0,Unknown,,,,,,1:27:36,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
152698,452751,114957,Florian Brungraber H2,Austria,FINISH,3,00:11:15,00:03:06,00:37:48,00:00:52,00:13:13,01:09:20,PTWC Men,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,675.0,186.0,2268.0,52.0,793.0,4160.0,H2,,,False,675.0,4160.0,3974.0,3974.0,675.0,186.0,Unknown,,,,,,1:09:20,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
152698,452751,75860,Geert Schipper H2,Netherlands,FINISH,2,00:11:00,00:02:36,00:36:00,00:00:50,00:13:24,01:06:57,PTWC Men,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,660.0,156.0,2160.0,50.0,804.0,4017.0,H2,,,False,660.0,4017.0,3830.0,3830.0,660.0,187.0,Unknown,,,,,,1:06:57,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
152698,452751,75037,Jetze Plat H2,Netherlands,FINISH,1,00:09:35,00:02:16,00:33:42,00:01:00,00:12:08,01:01:47,PTWC Men,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,575.0,136.0,2022.0,60.0,728.0,3707.0,H2,,,False,575.0,3707.0,3521.0,3521.0,575.0,186.0,Unknown,,,,,,1:01:47,AJ Bell 2021 World Triathlon Para Series Leeds,False,False,False,False,False,False,False,False,False
154584,453927,114957,Florian Brungraber H2,Austria,FINISH,1,00:10:38,00:01:23,00:36:22,00:01:17,00:12:46,01:05:36,PTWC Men,,2021 World Triathlon Para Cup Besancon,2021-06-13,World Para Cup,,,,638.0,83.0,2182.0,77.0,766.0,3936.0,H2,,,False,638.0,3936.0,3746.0,3746.0,638.0,190.0,Unknown,,,,,,1:05:36,2021 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
154584,453927,69957,Howie Sanborn H1,United States,FINISH,6,00:14:14,00:02:21,00:46:10,00:01:38,00:14:54,01:19:18,PTWC Men,,2021 World Triathlon Para Cup Besancon,2021-06-13,World Para Cup,,,,854.0,141.0,2770.0,98.0,894.0,4758.0,H1,,,False,854.0,4758.0,4757.0,4757.0,854.0,1.0,Unknown,,,,,,1:19:18,2021 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
154586,453957,69957,Howie Sanborn H1,United States,FINISH,6,00:15:16,00:02:05,00:40:32,00:01:56,00:14:18,01:14:07,PTWC Men,,2021 World Triathlon Para Cup A Coruna,2021-06-20,World Para Cup,,,,916.0,125.0,2432.0,116.0,858.0,4447.0,H1,,,False,916.0,4447.0,4447.0,4447.0,916.0,0.0,Unknown,,,,,,1:14:07,2021 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
131301,508220,114957,Florian Brungraber H2,Austria,FINISH,2,00:10:27,00:01:23,00:31:59,00:00:54,00:12:04,00:59:55,PTWC Men,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,627.0,83.0,1919.0,54.0,724.0,3595.0,H2,,,False,627.0,3595.0,3407.0,3407.0,627.0,188.0,Unknown,,,,,,59:55,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
131301,508220,75860,Geert Schipper H2,Netherlands,FINISH,4,00:10:55,00:01:18,00:34:04,00:00:49,00:12:47,01:03:01,PTWC Men,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,655.0,78.0,2044.0,49.0,767.0,3781.0,H2,,,False,655.0,3781.0,3593.0,3593.0,655.0,188.0,Unknown,,,,,,1:03:01,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
131301,508220,75037,Jetze Plat H2,Netherlands,FINISH,1,00:09:31,00:01:11,00:30:31,00:00:47,00:12:43,00:57:51,PTWC Men,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,571.0,71.0,1831.0,47.0,763.0,3471.0,H2,,,False,571.0,3471.0,3283.0,3283.0,571.0,188.0,Unknown,,,,,,57:51,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
141445,351287,75860,Geert Schipper H2,Netherlands,FINISH,1,00:58:35,00:03:33,04:57:37,00:02:12,01:53:27,07:55:22,PTWC Men,,2021 World Triathlon Long Distance Championships Almere-Amsterdam,2021-09-12,"World Championships, Age-Group Event",,,,,213.0,,132.0,,28522.0,H2,,,False,3515.0,28522.0,28524.0,28524.0,3515.0,-2.0,Unknown,,,,,,7:55:22,2021 World Triathlon Long Distance Championships Almere-Amsterdam,False,False,True,False,True,False,True,False,False
155518,461246,69957,Howie Sanborn H1,United States,FINISH,2,00:16:08,00:00:55,00:36:40,00:01:06,00:16:19,01:11:05,PTWC Men,,2021 World Triathlon Para Cup Alanya,2021-10-01,World Para Cup,,,,968.0,55.0,2200.0,66.0,979.0,4265.0,H1,,,False,968.0,4265.0,4268.0,4268.0,968.0,-3.0,Unknown,,,,,,1:11:05,2021 World Triathlon Para Cup Alanya,False,False,False,False,False,False,False,False,False
155520,500559,69957,Howie Sanborn H1,United States,FINISH,3,00:14:35,00:01:43,00:34:30,00:01:13,00:13:36,01:05:37,PTWC Men,,2021 World Triathlon Para Cup Alhandra,2021-10-30,World Para Cup,,,,875.0,103.0,2070.0,73.0,816.0,3937.0,H1,,,False,875.0,3937.0,3937.0,3937.0,875.0,0.0,Unknown,,,,,,1:05:37,2021 World Triathlon Para Cup Alhandra,False,False,False,False,False,False,False,False,False
162511,526346,75860,Geert Schipper H2,Netherlands,FINISH,2,00:10:50,00:01:35,00:29:21,00:00:55,00:11:46,00:57:33,PTWC Men,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,650.0,95.0,1761.0,55.0,706.0,3453.0,H2,,,False,650.0,3453.0,3267.0,3267.0,650.0,186.0,Unknown,,,,,,57:33,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
162511,526346,69957,Howie Sanborn H1,United States,FINISH,7,00:13:25,00:02:26,00:33:58,00:01:21,00:13:55,01:05:04,PTWC Men,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,805.0,146.0,2038.0,81.0,835.0,3904.0,H1,,,False,805.0,3904.0,3905.0,3905.0,805.0,-1.0,Unknown,,,,,,1:05:04,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
162511,526346,75037,Jetze Plat H2,Netherlands,FINISH,1,00:09:50,00:01:22,00:29:38,00:00:55,00:11:24,00:56:15,PTWC Men,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,590.0,82.0,1778.0,55.0,684.0,3375.0,H2,,,False,590.0,3375.0,3189.0,3189.0,590.0,186.0,Unknown,,,,,,56:15,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
